item_id,dataset,env,seed,L1,L2,FA,path,is_correct,n_docs,conflict_type,l2_source
qacc-0470,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0473,qacc,reflection,13,detected,correct,correct,legitimate,1,6,misinformation,judge
qacc-0473,qacc,standard,13,unrecognized,,correct,blind_hit,1,6,misinformation,
qacc-0473,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,6,misinformation,
qacc-0477,qacc,reflection,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0477,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0477,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0491,qacc,reflection,13,detected,wrong,wrong,,0,9,misinformation,rule
qacc-0491,qacc,standard,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0491,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0511,qacc,reflection,13,detected,unresolved,correct,shortcut,1,9,misinformation,judge
qacc-0511,qacc,standard,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0511,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0517,qacc,reflection,13,detected,unresolved,correct,shortcut,1,9,misinformation,rule
qacc-0517,qacc,standard,13,detected,correct,correct,legitimate,1,9,misinformation,judge
qacc-0517,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0535,qacc,reflection,13,detected,correct,correct,legitimate,1,6,misinformation,judge
qacc-0535,qacc,standard,13,unrecognized,,correct,blind_hit,1,6,misinformation,
qacc-0535,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,6,misinformation,
qacc-0573,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0573,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0573,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0574,qacc,reflection,13,detected,correct,correct,legitimate,1,9,misinformation,judge
qacc-0574,qacc,standard,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0574,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0647,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-0647,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0647,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0657,qacc,reflection,13,detected,correct,wrong,,0,9,misinformation,judge
qacc-0657,qacc,standard,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0657,qacc,standard_nothink,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0658,qacc,reflection,13,detected,correct,correct,legitimate,1,6,misinformation,rule
qacc-0658,qacc,standard,13,unrecognized,,correct,blind_hit,1,6,misinformation,
qacc-0658,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,6,misinformation,
qacc-0659,qacc,reflection,13,detected,correct,correct,legitimate,1,8,misinformation,judge
qacc-0659,qacc,standard,13,detected,correct,correct,legitimate,1,8,misinformation,rule
qacc-0659,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,8,misinformation,
qacc-0663,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0663,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0663,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0684,qacc,reflection,13,detected,correct,wrong,,0,9,misinformation,judge
qacc-0684,qacc,standard,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0684,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0699,qacc,reflection,13,detected,correct,correct,legitimate,1,7,misinformation,judge
qacc-0699,qacc,standard,13,detected,wrong,correct,discordant_hit,1,7,misinformation,judge
qacc-0699,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0729,qacc,reflection,13,detected,correct,correct,legitimate,1,8,misinformation,judge
qacc-0729,qacc,standard,13,detected,correct,correct,legitimate,1,8,misinformation,judge
qacc-0729,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,8,misinformation,
qacc-0741,qacc,reflection,13,detected,wrong,correct,discordant_hit,1,10,misinformation,judge
qacc-0741,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0741,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0746,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-0746,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-0746,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-0764,qacc,reflection,13,detected,correct,wrong,,0,8,misinformation,judge
qacc-0764,qacc,standard,13,unrecognized,,wrong,,0,8,misinformation,
qacc-0764,qacc,standard_nothink,13,unrecognized,,wrong,,0,8,misinformation,
qacc-0777,qacc,reflection,13,detected,wrong,correct,discordant_hit,1,10,misinformation,rule
qacc-0777,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-0777,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-0781,qacc,reflection,13,unrecognized,,correct,blind_hit,1,8,outdated,
qacc-0781,qacc,standard,13,unrecognized,,correct,blind_hit,1,8,outdated,
qacc-0781,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,8,outdated,
qacc-0808,qacc,reflection,13,detected,correct,correct,legitimate,1,7,misinformation,judge
qacc-0808,qacc,standard,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0808,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0837,qacc,reflection,13,detected,correct,wrong,,0,9,misinformation,rule
qacc-0837,qacc,standard,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0837,qacc,standard_nothink,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0848,qacc,reflection,13,detected,correct,correct,legitimate,1,7,misinformation,judge
qacc-0848,qacc,standard,13,detected,correct,correct,legitimate,1,7,misinformation,judge
qacc-0848,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0850,qacc,reflection,13,detected,wrong,wrong,,0,10,outdated,rule
qacc-0850,qacc,standard,13,unrecognized,,wrong,,0,10,outdated,
qacc-0850,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-0853,qacc,reflection,13,detected,correct,correct,legitimate,1,7,misinformation,judge
qacc-0853,qacc,standard,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0853,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0855,qacc,reflection,13,detected,wrong,wrong,,0,9,outdated,rule
qacc-0855,qacc,standard,13,unrecognized,,wrong,,0,9,outdated,
qacc-0855,qacc,standard_nothink,13,unrecognized,,wrong,,0,9,outdated,
qacc-0870,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-0870,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0870,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0874,qacc,reflection,13,detected,correct,correct,legitimate,1,7,misinformation,rule
qacc-0874,qacc,standard,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0874,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0878,qacc,reflection,13,detected,wrong,correct,discordant_hit,1,10,outdated,rule
qacc-0878,qacc,standard,13,unrecognized,,wrong,,0,10,outdated,
qacc-0878,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,outdated,
qacc-0880,qacc,reflection,13,detected,correct,correct,legitimate,1,10,outdated,judge
qacc-0880,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-0880,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-0890,qacc,reflection,13,detected,wrong,wrong,,0,8,misinformation,rule
qacc-0890,qacc,standard,13,unrecognized,,wrong,,0,8,misinformation,
qacc-0890,qacc,standard_nothink,13,unrecognized,,wrong,,0,8,misinformation,
qacc-0897,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-0897,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-0897,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-0901,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0901,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0901,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0937,qacc,reflection,13,detected,correct,correct,legitimate,1,9,outdated,rule
qacc-0937,qacc,standard,13,unrecognized,,correct,blind_hit,1,9,outdated,
qacc-0937,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,outdated,
qacc-0939,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,rule
qacc-0939,qacc,standard,13,detected,correct,wrong,,0,10,misinformation,rule
qacc-0939,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-0958,qacc,reflection,13,detected,correct,wrong,,0,9,misinformation,rule
qacc-0958,qacc,standard,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0958,qacc,standard_nothink,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0965,qacc,reflection,13,detected,correct,wrong,,0,6,misinformation,judge
qacc-0965,qacc,standard,13,unrecognized,,wrong,,0,6,misinformation,
qacc-0965,qacc,standard_nothink,13,unrecognized,,wrong,,0,6,misinformation,
qacc-0973,qacc,reflection,13,detected,correct,correct,legitimate,1,10,outdated,rule
qacc-0973,qacc,standard,13,detected,correct,correct,legitimate,1,10,outdated,judge
qacc-0973,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-0974,qacc,reflection,13,detected,wrong,correct,discordant_hit,1,7,misinformation,judge
qacc-0974,qacc,standard,13,detected,correct,correct,legitimate,1,7,misinformation,judge
qacc-0974,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-1007,qacc,reflection,13,detected,correct,correct,legitimate,1,9,misinformation,rule
qacc-1007,qacc,standard,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-1007,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-1009,qacc,reflection,13,detected,correct,correct,legitimate,1,8,misinformation,rule
qacc-1009,qacc,standard,13,unrecognized,,correct,blind_hit,1,8,misinformation,
qacc-1009,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,8,misinformation,
qacc-1025,qacc,reflection,13,detected,wrong,wrong,,0,9,outdated,judge
qacc-1025,qacc,standard,13,unrecognized,,wrong,,0,9,outdated,
qacc-1025,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,outdated,
qacc-1043,qacc,reflection,13,detected,correct,wrong,,0,10,outdated,judge
qacc-1043,qacc,standard,13,unrecognized,,wrong,,0,10,outdated,
qacc-1043,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,outdated,
qacc-1065,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-1065,qacc,standard,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-1065,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1068,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-1068,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1068,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1084,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-1084,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1084,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1086,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-1086,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1086,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1107,qacc,reflection,13,detected,correct,correct,legitimate,1,10,outdated,judge
qacc-1107,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1107,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1109,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1109,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1109,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1112,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-1112,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1112,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1116,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,rule
qacc-1116,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1116,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1119,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1119,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1119,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1121,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1121,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1121,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1122,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-1122,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1122,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1123,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1123,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1123,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1124,qacc,reflection,13,detected,wrong,correct,discordant_hit,1,10,outdated,rule
qacc-1124,qacc,standard,13,unrecognized,,wrong,,0,10,outdated,
qacc-1124,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1130,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1130,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1130,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1133,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,rule
qacc-1133,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1133,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1138,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1138,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1138,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1141,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,rule
qacc-1141,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1141,qacc,standard_nothink,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1150,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1150,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1150,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1151,qacc,reflection,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1151,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1151,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1159,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-1159,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1159,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1167,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-1167,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-1167,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1187,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1187,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1187,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1200,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1200,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1200,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1206,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1206,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1206,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1207,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-1207,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1207,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1237,qacc,reflection,13,detected,correct,correct,legitimate,1,10,outdated,judge
qacc-1237,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1237,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1256,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1256,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1256,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1277,qacc,reflection,13,detected,wrong,correct,discordant_hit,1,10,misinformation,rule
qacc-1277,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1277,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1283,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1283,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1283,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1287,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1287,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1287,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1295,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-1295,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1295,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1296,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1296,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1296,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1327,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1327,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1327,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1331,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1331,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-1331,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1333,qacc,reflection,13,detected,correct,correct,legitimate,1,10,outdated,rule
qacc-1333,qacc,standard,13,detected,correct,correct,legitimate,1,10,outdated,rule
qacc-1333,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,outdated,
qacc-1339,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-1339,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1339,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-1341,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
