question_id,verdict,conflict_type,model
qacc-0743,sharp,misinformation,openai/gpt-oss-20b
qacc-0745,soft,,openai/gpt-oss-20b
qacc-0746,sharp,misinformation,openai/gpt-oss-20b
qacc-0751,sharp,misinformation,openai/gpt-oss-20b
qacc-0754,soft,,openai/gpt-oss-20b
qacc-0761,soft,,openai/gpt-oss-20b
qacc-0763,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-0764,sharp,misinformation,openai/gpt-oss-20b
qacc-0777,sharp,misinformation,openai/gpt-oss-20b
qacc-0778,sharp,misinformation,openai/gpt-oss-20b
qacc-0780,sharp,misinformation,openai/gpt-oss-20b
qacc-0781,sharp,outdated,openai/gpt-oss-20b
qacc-0782,soft,,openai/gpt-oss-20b
qacc-0791,soft,,openai/gpt-oss-20b
qacc-0793,sharp,outdated,openai/gpt-oss-20b
qacc-0796,sharp,misinformation,openai/gpt-oss-20b
qacc-0807,soft,,openai/gpt-oss-20b
qacc-0808,sharp,misinformation,openai/gpt-oss-20b
qacc-0810,soft,,openai/gpt-oss-20b
qacc-0833,sharp,misinformation,openai/gpt-oss-20b
qacc-0836,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-0837,sharp,misinformation,openai/gpt-oss-20b
qacc-0843,sharp,misinformation,openai/gpt-oss-20b
qacc-0847,sharp,misinformation,openai/gpt-oss-20b
qacc-0848,sharp,misinformation,openai/gpt-oss-20b
qacc-0849,sharp,misinformation,openai/gpt-oss-20b
qacc-0850,sharp,outdated,openai/gpt-oss-20b
qacc-0853,sharp,misinformation,openai/gpt-oss-20b
qacc-0855,sharp,outdated,openai/gpt-oss-20b
qacc-0856,soft,,openai/gpt-oss-20b
qacc-0870,sharp,misinformation,openai/gpt-oss-20b
qacc-0874,sharp,misinformation,openai/gpt-oss-20b
qacc-0875,soft,,openai/gpt-oss-20b
qacc-0877,soft,,openai/gpt-oss-20b
qacc-0878,sharp,misinformation,openai/gpt-oss-20b
qacc-0880,sharp,outdated,openai/gpt-oss-20b
qacc-0885,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-0887,soft,,openai/gpt-oss-20b
qacc-0890,sharp,misinformation,openai/gpt-oss-20b
qacc-0894,soft,,openai/gpt-oss-20b
qacc-0895,sharp,misinformation,openai/gpt-oss-20b
qacc-0897,sharp,misinformation,openai/gpt-oss-20b
qacc-0898,soft,,openai/gpt-oss-20b
qacc-0901,sharp,misinformation,openai/gpt-oss-20b
qacc-0908,soft,,openai/gpt-oss-20b
qacc-0913,soft,,openai/gpt-oss-20b
qacc-0931,sharp,misinformation,openai/gpt-oss-20b
qacc-0933,sharp,misinformation,openai/gpt-oss-20b
qacc-0936,sharp,misinformation,openai/gpt-oss-20b
qacc-0937,sharp,outdated,openai/gpt-oss-20b
qacc-0939,sharp,misinformation,openai/gpt-oss-20b
qacc-0941,sharp,misinformation,openai/gpt-oss-20b
qacc-0943,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-0945,sharp,misinformation,openai/gpt-oss-20b
qacc-0946,sharp,misinformation,openai/gpt-oss-20b
qacc-0951,soft,,openai/gpt-oss-20b
qacc-0958,sharp,misinformation,openai/gpt-oss-20b
qacc-0962,sharp,misinformation,openai/gpt-oss-20b
qacc-0965,sharp,misinformation,openai/gpt-oss-20b
qacc-0968,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-0970,sharp,misinformation,openai/gpt-oss-20b
qacc-0973,sharp,outdated,openai/gpt-oss-20b
qacc-0974,sharp,misinformation,openai/gpt-oss-20b
qacc-0979,sharp,outdated,openai/gpt-oss-20b
qacc-0981,,,openai/gpt-oss-20b
qacc-0982,soft,,openai/gpt-oss-20b
qacc-0985,sharp,conflicting_opinions,openai/gpt-oss-20b
qacc-0988,sharp,misinformation,openai/gpt-oss-20b
qacc-0989,soft,,openai/gpt-oss-20b
qacc-0999,soft,,openai/gpt-oss-20b
qacc-1001,soft,,openai/gpt-oss-20b
qacc-1003,soft,,openai/gpt-oss-20b
qacc-1007,sharp,misinformation,openai/gpt-oss-20b
qacc-1009,sharp,misinformation,openai/gpt-oss-20b
qacc-1025,sharp,outdated,openai/gpt-oss-20b
qacc-1026,soft,,openai/gpt-oss-20b
qacc-1029,soft,,openai/gpt-oss-20b
qacc-1030,sharp,misinformation,openai/gpt-oss-20b
qacc-1033,sharp,misinformation,openai/gpt-oss-20b
qacc-1040,soft,,openai/gpt-oss-20b
qacc-1041,sharp,misinformation,openai/gpt-oss-20b
qacc-1043,sharp,misinformation,openai/gpt-oss-20b
qacc-1048,soft,,openai/gpt-oss-20b
qacc-1050,soft,,openai/gpt-oss-20b
qacc-1056,soft,,openai/gpt-oss-20b
qacc-1057,sharp,outdated,openai/gpt-oss-20b
qacc-1061,soft,,openai/gpt-oss-20b
qacc-1062,soft,,openai/gpt-oss-20b
qacc-1063,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-1065,sharp,misinformation,openai/gpt-oss-20b
qacc-1068,sharp,misinformation,openai/gpt-oss-20b
qacc-1070,sharp,misinformation,openai/gpt-oss-20b
qacc-1078,,,openai/gpt-oss-20b
qacc-1080,soft,,openai/gpt-oss-20b
qacc-1084,sharp,misinformation,openai/gpt-oss-20b
qacc-1086,sharp,misinformation,openai/gpt-oss-20b
qacc-1094,,,openai/gpt-oss-20b
qacc-1102,,,openai/gpt-oss-20b
qacc-1106,soft,,openai/gpt-oss-20b
qacc-1107,sharp,outdated,openai/gpt-oss-20b
qacc-1109,sharp,misinformation,openai/gpt-oss-20b
qacc-1112,sharp,misinformation,openai/gpt-oss-20b
qacc-1114,sharp,outdated,openai/gpt-oss-20b
qacc-1116,sharp,misinformation,openai/gpt-oss-20b
qacc-1119,sharp,misinformation,openai/gpt-oss-20b
qacc-1121,sharp,misinformation,openai/gpt-oss-20b
qacc-1122,sharp,misinformation,openai/gpt-oss-20b
qacc-1123,sharp,misinformation,openai/gpt-oss-20b
qacc-1124,sharp,outdated,openai/gpt-oss-20b
qacc-1130,sharp,misinformation,openai/gpt-oss-20b
qacc-1133,sharp,misinformation,openai/gpt-oss-20b
qacc-1138,sharp,misinformation,openai/gpt-oss-20b
qacc-1141,sharp,misinformation,openai/gpt-oss-20b
qacc-1148,soft,,openai/gpt-oss-20b
qacc-1150,sharp,misinformation,openai/gpt-oss-20b
qacc-1151,sharp,misinformation,openai/gpt-oss-20b
qacc-1156,soft,,openai/gpt-oss-20b
qacc-1159,sharp,misinformation,openai/gpt-oss-20b
qacc-1160,sharp,misinformation,openai/gpt-oss-20b
qacc-1167,sharp,misinformation,openai/gpt-oss-20b
qacc-1168,soft,,openai/gpt-oss-20b
qacc-1172,sharp,misinformation,openai/gpt-oss-20b
qacc-1187,sharp,misinformation,openai/gpt-oss-20b
qacc-1195,soft,,openai/gpt-oss-20b
qacc-1200,sharp,conflicting_opinions,openai/gpt-oss-20b
qacc-1204,soft,,openai/gpt-oss-20b
qacc-1206,sharp,misinformation,openai/gpt-oss-20b
qacc-1207,sharp,misinformation,openai/gpt-oss-20b
qacc-1209,soft,,openai/gpt-oss-20b
qacc-1232,sharp,outdated,openai/gpt-oss-20b
qacc-1237,sharp,outdated,openai/gpt-oss-20b
qacc-1256,sharp,misinformation,openai/gpt-oss-20b
qacc-1271,soft,outdated,openai/gpt-oss-20b
qacc-1277,sharp,misinformation,openai/gpt-oss-20b
qacc-1283,sharp,misinformation,openai/gpt-oss-20b
qacc-1287,sharp,misinformation,openai/gpt-oss-20b
qacc-1295,sharp,misinformation,openai/gpt-oss-20b
qacc-1296,sharp,misinformation,openai/gpt-oss-20b
qacc-1297,,,openai/gpt-oss-20b
qacc-1302,soft,,openai/gpt-oss-20b
qacc-1304,sharp,misinformation,openai/gpt-oss-20b
qacc-1326,sharp,misinformation,openai/gpt-oss-20b
qacc-1327,sharp,misinformation,openai/gpt-oss-20b
qacc-1331,sharp,misinformation,openai/gpt-oss-20b
qacc-1333,sharp,outdated,openai/gpt-oss-20b
qacc-1339,sharp,misinformation,openai/gpt-oss-20b
qacc-1341,sharp,misinformation,openai/gpt-oss-20b
qacc-1344,sharp,misinformation,openai/gpt-oss-20b
qacc-1347,soft,,openai/gpt-oss-20b
qacc-1348,soft,,openai/gpt-oss-20b
qacc-1349,sharp,misinformation,openai/gpt-oss-20b
qacc-1354,sharp,misinformation,openai/gpt-oss-20b
qacc-1357,sharp,,openai/gpt-oss-20b
qacc-1366,soft,,openai/gpt-oss-20b
qacc-1373,soft,,openai/gpt-oss-20b
qacc-1377,sharp,misinformation,openai/gpt-oss-20b
qacc-1381,soft,,openai/gpt-oss-20b
qacc-1394,sharp,misinformation,openai/gpt-oss-20b
qacc-1402,sharp,misinformation,openai/gpt-oss-20b
qacc-1405,sharp,misinformation,openai/gpt-oss-20b
qacc-1409,sharp,misinformation,openai/gpt-oss-20b
qacc-1414,soft,,openai/gpt-oss-20b
qacc-1417,sharp,misinformation,openai/gpt-oss-20b
qacc-1421,sharp,,openai/gpt-oss-20b
qacc-1423,sharp,misinformation,openai/gpt-oss-20b
qacc-1424,sharp,misinformation,openai/gpt-oss-20b
qacc-1426,sharp,misinformation,openai/gpt-oss-20b
qacc-1430,sharp,misinformation,openai/gpt-oss-20b
qacc-1434,sharp,misinformation,openai/gpt-oss-20b
qacc-1445,sharp,misinformation,openai/gpt-oss-20b
qacc-1447,,,openai/gpt-oss-20b
qacc-1453,sharp,misinformation,openai/gpt-oss-20b
qacc-1468,sharp,misinformation,openai/gpt-oss-20b
qacc-1470,sharp,misinformation,openai/gpt-oss-20b
qacc-1477,sharp,misinformation,openai/gpt-oss-20b
qacc-1489,sharp,misinformation,openai/gpt-oss-20b
qacc-1497,soft,,openai/gpt-oss-20b
qacc-1499,soft,,openai/gpt-oss-20b
qacc-1500,sharp,misinformation,openai/gpt-oss-20b
qacc-1503,sharp,misinformation,openai/gpt-oss-20b
qacc-1504,sharp,misinformation,openai/gpt-oss-20b
qacc-1511,sharp,misinformation,openai/gpt-oss-20b
qacc-1521,sharp,misinformation,openai/gpt-oss-20b
qacc-1522,soft,,openai/gpt-oss-20b
qacc-1527,sharp,misinformation,openai/gpt-oss-20b
qacc-1531,sharp,misinformation,openai/gpt-oss-20b
qacc-1552,sharp,misinformation,openai/gpt-oss-20b
qacc-1554,sharp,outdated,openai/gpt-oss-20b
qacc-1557,sharp,misinformation,openai/gpt-oss-20b
qacc-1565,sharp,misinformation,openai/gpt-oss-20b
qacc-1574,sharp,misinformation,openai/gpt-oss-20b
qacc-1575,sharp,misinformation,openai/gpt-oss-20b
qacc-1580,sharp,outdated,openai/gpt-oss-20b
qacc-1581,,,openai/gpt-oss-20b
qacc-1585,soft,,openai/gpt-oss-20b
qacc-1588,sharp,misinformation,openai/gpt-oss-20b
qacc-1598,sharp,outdated,openai/gpt-oss-20b
qacc-1602,sharp,misinformation,openai/gpt-oss-20b
