question_id,question,correct_answer,conflicting_answers,conflict_type,exclusion_flag,judge1(sharp/soft),judge2(sharp/soft),human_spotcheck(sharp/soft),gold_reverified(y/n/corrected),verdict(sharp/soft)
qacc-0435,Who wrote the book my country my life?,Ehud Barak,L. K. Advani,misinfo,,,,,,
qacc-0436,Who does the voice of amy on futurama?,Lauren Tom,Lauren,misinfo,,,,,,
qacc-0438,Who did the us share the oregon country with?,British,England,misinfo,,,,,,
qacc-0453,Who sang heard it thru the grapevine first?,Marvin Gaye,Miracles,misinfo,,,,,,
qacc-0456,When did the tv show the waltons first air?,1971,1972,misinfo,,,,,,
qacc-0457,Where does the sweetness of fruit come from?,Sugars ,fruit's extract | fructose,misinfo,,,,,,
qacc-0462,Who is the first indian climber of mount everest?,Avatar Singh Cheema,Nawang Gombu | Captain M.S. Kohli,misinfo,,,,,,
qacc-0465,Who took the first steps on the moon in 1969?,Neil Armstrong,Buzz Aldrin,misinfo,no_valid_conflict_pair,,,,,
qacc-0466,What were the two causes of the dust bowl?,federal land policies,poverty,misinfo,,,,,,
qacc-0468,Who do you meet at the gates of heaven?,People ,Saint Peter,misinfo,,,,,,
qacc-0470,Who was the viceroy when the simon commission visited india?,Lord Irwin,Lloyd George,misinfo,,,,,,
qacc-0473,When was the electronic funds transfer act signed into law?,1978,", 2000",misinfo,,,,,,
qacc-0474,Who sings good night on the beatles white album?,Ringo Star, Ringo Starr |  Lennon,misinfo,gold_not_in_candidates,,,,,
qacc-0476,How many times has lake placid hosted the winter olympics?,13th,two,misinfo,,,,,,
qacc-0477,Who wrote the song oh lord won't you buy me a mercedes benz?,Joplin,Michael McClure's,misinfo,,,,,,
qacc-0485,Who plays the robot on the orville show?,Jackson,Isaac,misinfo,,,,,,
qacc-0491,The world's tallest jain statue is located in which state of india?,Mangi Tungi,Kevadia,misinfo,,,,,,
qacc-0492,What are the toll roads called in mexico?,Cuota,highways,misinfo,,,,,,
qacc-0495,First day collection of mission china assamese film?,₹ 39.97 lakh,"38,25700.00 | Rs 40",misinfo,,,,,,
qacc-0498,China in chinese is called zhongguo which means?,state,central kingdom | central state or states | the Middle Kingdom,misinfo,gold_not_in_candidates,,,,,
qacc-0504,Who is the longest railway station in india?,Hubbali,Karnataka,misinfo,,,,,,
qacc-0505,Where does the last name hansen come from?,Denmark,Scandinavian,misinfo,,,,,,
qacc-0508,Where was the italian episode of everybody loves raymond filmed?,Anguillara Sabazia,Rome,misinfo,,,,,,
qacc-0511,Who does betty end up with on riverdale?,Archie,Jughead,misinfo,,,,,,
qacc-0517,Who played stonewall jackson in gods and generals?,Stephen Lang,Russell Crowe,misinfo,,,,,,
qacc-0518,Who sang the theme song for laverne and shirley?,Cyndi Greeco,Cyndi Grecco  | Richard 'Ringo Starr' Starkey | the stars and cyndi greeco,misinfo,gold_not_in_candidates,,,,,
qacc-0521,When did the sims 4 toddlers come out?,March 14,24th August,misinfo,,,,,,
qacc-0532,Wolf of wall street number of f words?,506,569,misinfo,,,,,,
qacc-0535,Which british city is farthest from the sea?,lichfield,shortheath,misinfo,,,,,,
qacc-0538,Who claimed land in south america for portugal?,papal bull,the Portuguese king,misinfo,,,,,,
qacc-0539,What type of dog was laika the spacedog?,a stray mixed breed,Soviet space dog | part Siberian husky,misinfo,,,,,,
qacc-0540,What was the name of the horse in steptoe and son?,Hercules and Samson,Delilah | Hercules,misinfo,,,,,,
qacc-0550,Who votes in the baseball hall of fame?,BBWAA," Jim Alexander, John Fay, ",misinfo,,,,,,
qacc-0551,Who plays brad pitt's daughter in moneyball?,Kerris Lilla Dorsey,Casey Beane,misinfo,,,,,,
qacc-0553,Who is the girl that played darlene in roseanne?,Sara Gilbert,Gilbert,misinfo,,,,,,
qacc-0561,Where does the last name tavarez come from?,Dominican Republic,Portuguese | Spain,misinfo,,,,,,
qacc-0562,The duluth model is an intervention program that emphasizes?,programs are facilitated at ,the development of critical  | feminist educational model,misinfo,no_valid_conflict_pair,,,,,
qacc-0573,What does the c stand for chrysler 300c?,coupe,chrysler,temporal,,,,,,
qacc-0574,Who was the first executive president of guyana?, Linden Forbes Sampson Burnham,Cheddi Jagan,misinfo,,,,,,
qacc-0582,What city was zeus the patron god of?,Olympia, Elis,misinfo,,,,,,
qacc-0583,Who makes the important government decisions in an autocracy?,Ruler,autocratic leader,misinfo,,,,,,
qacc-0584,Who wrote the song if i were a boy?,"Toby Gad, BC Jean ",Beyonce ,misinfo,,,,,,
qacc-0585,A drug that might be used in surgery for its amnesic properties is?,Ketamine,Diazepam | Midazolam,misinfo,,,,,,
qacc-0589,Love yourself by justin bieber is about who?,"Selena Gomez, ",Rihanna | woman,misinfo,no_valid_conflict_pair,,,,,
qacc-0598,Mention the chemical change that proinsulin undergo to be able to act as mature insulin?,disulphide bridges,the 'C' peptide is cleaved,misinfo,,,,,,
qacc-0601,How many rooms is there in buckingham palace?,It is the most common answer.,775 rooms | na,misinfo,gold_not_in_candidates,,,,,
qacc-0605,What's in a beam me up scotty?,Coffee ,Coffee liqueur ,misinfo,no_valid_conflict_pair,,,,,
qacc-0606,What percentage of global man-made co2 emissions comes from worldwide aviation?,0.04,small,misinfo,,,,,,
qacc-0612,Who sang from russia with love james bond?,The Lightning Thief ,Matt Monro | Matt Monro,misinfo,gold_not_in_candidates,,,,,
qacc-0615,Where does the grapes of wrath take place?,Oklahoma,America  | United States ,misinfo,,,,,,
qacc-0619,Who played major hochstetter in hogan's heroes?,Howard Caine,Wolfgang Hochstetter,misinfo,,,,,,
qacc-0627,What is cain and abel software used for?,password recovery tool,"password cracking tool | LAN poisoning, sniffing, .",misinfo,,,,,,
qacc-0640,New mexico was admitted to the union as the . . . state?,47th," free, nonslavery state",misinfo,,,,,,
qacc-0647,Who was the captain of the mayflower which brought the pilgrims to plymouth?,Christopher Jones,Myles Standish,misinfo,,,,,,
qacc-0649,When did marathon change its name to snickers?,1990,UK 30 years ...,misinfo,,,,,,
qacc-0652,When does closure of the ductus arteriosus occur?,"few days after birth,",shortly after birth | within 24 to 48 hours of birth,misinfo,,,,,,
qacc-0657,When did the philadelphia eagles play in the super bowl last?,2022 at Super Bowl LVII,2018 at Super Bowl XV | Super bowl LII,temporal,,,,,,
qacc-0658,When did united states enter world war i?,"1917, ", 1941,misinfo,,,,,,
qacc-0659,Which film won the oscar for best animated feature in 2007?,Ratatouille,Happy Feet,misinfo,,,,,,
qacc-0663,Who played mark on the show the rifleman?,Johnny Crawford,Kevin McCarthy,misinfo,,,,,,
qacc-0668,Who was kat slater's sisters in eastenders?,"Zoe, Lynne ",Lynne Hobbs,misinfo,,,,,,
qacc-0676,What area of san diego is sdsu in?,The College Area,the heart | South Bay,misinfo,,,,,,
qacc-0677,How many episodes of on my block are there?,38,ten,misinfo,,,,,,
qacc-0679,Who did tim allen play in toy story?,Buzz,,misinfo,no_valid_conflict_pair,,,,,
qacc-0683,Which delta is the largest delta in the world?,Ganges,,misinfo,no_valid_conflict_pair,,,,,
qacc-0684,Who wrote the song come a little bit closer?,Tommy Boyce and Bobby Hart,Jay and the Americans | Willy DeVille,temporal,,,,,,
qacc-0691,Who played trapper john in the movie mash?,Rogers,,misinfo,no_valid_conflict_pair,,,,,
qacc-0695,Who played the baby in superman the movie?,Aaron Smolinski,,misinfo,no_valid_conflict_pair,,,,,
qacc-0699,Who originally sang counting flowers on the wall?,The Statler Brothers,Eric Heatherly | Trey Hensley,misinfo,,,,,,
qacc-0700,What is the meaning of ci in police?,Confidential Informant,Circle Inspector,misinfo,,,,,,
qacc-0706,Where is michelangelo's david in florence italy?,Accademia Gallery ,,misinfo,no_valid_conflict_pair,,,,,
qacc-0711,Who sings the chorus in eminem song space bound?,Mcewen,,misinfo,no_valid_conflict_pair,,,,,
qacc-0713,Who composed the famous song 'sare jahan se acha'?,Allama Muhammad Iqbal,,misinfo,no_valid_conflict_pair,,,,,
qacc-0714,Is there any twins in the duggar family?,Jana and John David ,,misinfo,no_valid_conflict_pair,,,,,
qacc-0729,When was the last time the guillotine was used for execution?,1977,1940,temporal,,,,,,
qacc-0733,Where are the queen's crown jewels kept?,Tower of London,,misinfo,no_valid_conflict_pair,,,,,
qacc-0738,Who wrote the book of romans in the new testament?,apostle Paul,,misinfo,no_valid_conflict_pair,,,,,
qacc-0739,Who was leading the space race in april of 1961?,Soviet Union,,misinfo,no_valid_conflict_pair,,,,,
qacc-0741,First chief of army staff of independent india?,Shri Rajendrasinhji Jadeja,General Sir Robert Lockhart,misinfo,,,,,,
qacc-0742,When was the first time joshua was mentioned in the bible?,Exodus 17 ,,misinfo,no_valid_conflict_pair,,,,,
qacc-0743,When were the teenage mutant ninja turtles created?,1983,November 1983 | 1984,misinfo,gold_not_in_candidates,,,,,
qacc-0745,How many times has australia won the cricket world cup?,five,,misinfo,no_valid_conflict_pair,,,,,
qacc-0746,Who laid the foundation of road transport industry in madras?,MMLPs,TVS group,misinfo,,,,,,
qacc-0751,Where does the process of oxidative phosphorylation get the energy to form atp?,electron transport chain,proton | oxidative breakdown,misinfo,,,,,,
qacc-0754,When did the magician's nephew take place?,1800's ,,misinfo,no_valid_conflict_pair,,,,,
qacc-0761,Where was the first mcdonald's in phoenix built?,Central Avenue and Indian Sch,,misinfo,no_valid_conflict_pair,,,,,
qacc-0763,Why did the united states pursue a policy of containment?,Fearing that the Soviet Union,it was influenced by the views,misinfo,,,,,,
qacc-0764,Which layer of the epidermis is not found in all types of human skin?,basal layer,Hairless skin,misinfo,,,,,,
qacc-0777,When was the dollar coin introduced in australia?,14 February 1966,14 May 1984 | 14 May 1984,misinfo,,,,,,
qacc-0778,In fhss the sequence of changing frequencies is called the?,frequency hopping spread spec,hopping code,misinfo,,,,,,
qacc-0780,Who plays the white dog in secret life of pets?,Gidget,,misinfo,no_valid_conflict_pair,,,,,
qacc-0781,When does the new season of el senor de los cielos start?,2023,2020,temporal,,,,,,
qacc-0782,What's the average life expectancy of an american male?,73.2 years,79.9 | 79.3,misinfo,no_valid_conflict_pair,,,,,
qacc-0791,Doctrine of lapse was one of the case for which rebellion?,revolt,East India | civilian rebellion,misinfo,,,,,,
qacc-0793,How many assemblies of god churches in america?,13000,"12,000",misinfo,,,,,,
qacc-0796,Who played lois lane in the original superman?,Margot Kidder,,misinfo,no_valid_conflict_pair,,,,,
qacc-0807,Who wrote just when i needed you most?,Randy VanWarmer,,misinfo,no_valid_conflict_pair,,,,,
qacc-0808,What code was released in sa in 2016 to give guidance on corporate governance?,Report on Corporate Governance,UK Governance Code | Business Conduct of Coca-Cola,misinfo,,,,,,
qacc-0810,When was the last time newcastle won the fa cup?,1955,1954-55,misinfo,,,,,,
qacc-0833,Who sing the closer i get to you?,Roberta Flack,,misinfo,no_valid_conflict_pair,,,,,
qacc-0836,Who prints currency notes and coins in india?,The Reserve Bank of India,Currency Note Press,misinfo,,,,,,
qacc-0837,How many chargers used in dukes of hazzard movie?,26,Two | Three-hundred-seventeen,misinfo,,,,,,
qacc-0843,Who sang i cant stand the rain first?,.. Ann Peebles,,misinfo,no_valid_conflict_pair,,,,,
qacc-0847,Highest run score by player in ipl 2018?,684,735Runs,misinfo,,,,,,
qacc-0848,Who was the richest man in the world in 1970?,J. Paul Getty,Texas wheeler-dealer  | real estate man,misinfo,,,,,,
qacc-0849,What authentication scheme is being used with radius?,"LDAP, Active Directory or SAML",digest,misinfo,,,,,,
qacc-0850,Which is the latest assassin's creed game?,Assassin's Creed: Valhalla,Assassin's Creed Mirage,temporal,,,,,,
qacc-0853,Who played arnold on the andy griffin show?,Sheldon Collins,Dapo | Dapo,misinfo,,,,,,
qacc-0855,Who represents 1st norfolk & middlesex district in the massachusetts senate?,Becca Rausch,Cynthia Stone Creem | Cynthia Stone Creem,temporal,,,,,,
qacc-0856,Who was the asian kid in indiana jones?,Quan,,misinfo,no_valid_conflict_pair,,,,,
qacc-0870,Who won the laureus 2017 sportman of the year award?,Usain Bolt,Simone Biles,misinfo,,,,,,
qacc-0874,When did the first jungle book movie come out?,1967,"December 25, 1994",misinfo,,,,,,
qacc-0875,Which river has the largest basin in world?,Amazon,,misinfo,no_valid_conflict_pair,,,,,
qacc-0877,When is my mother said i never should set?,1987,1900,misinfo,,,,,,
qacc-0878,When was the last time rangers were in the champions league?,2011-12,1967,temporal,,,,,,
qacc-0880,How many sims can you have sims freeplay?,34.,six,misinfo,,,,,,
qacc-0885,Which is bigger kīlauea and mauna loa or mount everest?,Everest,Mauna,misinfo,,,,,,
qacc-0887,What is the numbers of total elected member of rajya sabha in present time?,238,,misinfo,no_valid_conflict_pair,,,,,
qacc-0890,When did the seed of chucky come out?,"Nov 4, 2004",November 12,misinfo,,,,,,
qacc-0894,How many lakes in crow wing county mn?,3417,400,misinfo,,,,,,
qacc-0895,Who wrote the theme song for phineas and ferb?," Jeff ""Swampy"" Marsh ",Bowling for Soup,misinfo,,,,,,
qacc-0897,The most basic protection for a lender of funds secured with a residential property is the?,Disclosures Upon Transfer,Agency's lien position | Perfecting the Security ,misinfo,,,,,,
qacc-0898,Of 600 large cities in china about how many are experiencing a water shortage?,400,over half,misinfo,,,,,,
qacc-0901,By whom the speaker of lok sabha is elected?,members,President ,misinfo,,,,,,
qacc-0908,What is the iis version in windows server 2016?,IIS 10.0,,misinfo,no_valid_conflict_pair,,,,,
qacc-0913,Who played the girl in karate kid 3?,Robyn Lively,,misinfo,no_valid_conflict_pair,,,,,
qacc-0931,Where is the red eared slider turtle from?,United States,freshwater,misinfo,,,,,,
qacc-0933,What are the 5 layers of earth atmosphere?,"troposphere, stratosphere,",,misinfo,no_valid_conflict_pair,,,,,
qacc-0936,Who has won the most stages in a single tour de france?,Mark Cavendish,Lance Armstrong | Charles Pelissier,misinfo,,,,,,
qacc-0937,Who is the most followed person on twitter in the world?,Elon Musk,Barack Obama,temporal,,,,,,
qacc-0939,Who sold more albums elvis or michael jackson?,not clear, Michael Jackson | Elvis Presley,misinfo,,,,,,
qacc-0941,When does my little pony season 7 air?,"April 15, 2017","October 9, 2018",temporal,,,,,,
qacc-0943,What kinda cheese is on a philly cheesesteak?,American cheese,,misinfo,no_valid_conflict_pair,,,,,
qacc-0945,Who sang mr sandman in back to the future?,Four Aces,,misinfo,no_valid_conflict_pair,,,,,
qacc-0946,Who wrote writing on the wall sam smith?,Jimmy Napes,,misinfo,no_valid_conflict_pair,,,,,
qacc-0951,When did hong kong revert back to china?,1 July 1997,,misinfo,no_valid_conflict_pair,,,,,
qacc-0958,When was the first televised college football game?,"Sept. 30, 1939","February 28, 1940 | November 1952",misinfo,,,,,,
qacc-0962,Who get the flag at a military funeral?,next-of-kin,A funeral director,misinfo,,,,,,
qacc-0965,What two documents was the bill of rights based on?,"Charters of Freedom, ",never ratified.,misinfo,,,,,,
qacc-0968,What genre is the book the adventures of huckleberry finn?,"picaresque,bildungsroman,satir",picaresque  | Adventure ,misinfo,,,,,,
qacc-0970,When were most of the effigy mounds built?,550–1200 CE,450 BCE and 1300 CE,misinfo,,,,,,
qacc-0973,Who is next in line to be the monarch of england?,"William, Prince of Wales",Charles | Charles,temporal,,,,,,
qacc-0974,Who does the laugh in feel good inc?, De La Soul,Phil Cornwell,misinfo,,,,,,
qacc-0979,How many total pin codes are there in india?,19100,more than 20000,misinfo,,,,,,
qacc-0981,Who plays bill pullman's wife in sinners?,Meredith Holzman, Leslie Fray | Kathryn MacLellan,misinfo,,,,,,
qacc-0982,What type of iron ore found in india?,Magnetite and Hematite,,misinfo,no_valid_conflict_pair,,,,,
qacc-0985,When did the first fish appear in the fossil record?,450 million years ago,"530 million years ago | 420 million years ago, ",misinfo,,,,,,
qacc-0988,How old is was the oldest person to ever live?,122 years,116 years,temporal,,,,,,
qacc-0989,When was night of the living dead released?,"October 1, 1968","October 4, 1968",misinfo,,,,,,
qacc-0999,Where did the first boer war take place?,Potchefstroom,,misinfo,no_valid_conflict_pair,,,,,
qacc-1001,Where was tin pan alley in new york city?,West 28th Street between Sixth,47-55 West 28th Street,misinfo,,,,,,
qacc-1003,How long has pr been part of the us?,1898," since 1898 | April 25, 1898",misinfo,gold_not_in_candidates,,,,,
qacc-1007,What agreement gave religious freedom to the lutherans?,The Peace of Augsburg,the toleration act,misinfo,,,,,,
qacc-1009,Who dies in percy jackson the titan's curse?,Bianca,Jason Grace,misinfo,,,,,,
qacc-1025,What actor holds the record for sexiest man alive?,Chris Evans,Johnny Depp ,misinfo,,,,,,
qacc-1026,When did the first ford bronco come out?,1965,1966,misinfo,,,,,,
qacc-1029,How many episodes are there in a place to call home?,thirteen,67,misinfo,,,,,,
qacc-1030,Where was the volturi scene filmed in italy?,Montepulciano,,misinfo,no_valid_conflict_pair,,,,,
qacc-1033,Nfl teams who never made it to the superbowl?,Detroit Lions ,,misinfo,no_valid_conflict_pair,,,,,
qacc-1040,Who has won the intercontinental championship the most?,Chris Jericho,Jericho,misinfo,no_valid_conflict_pair,,,,,
qacc-1041,What is the 5 k's of sikhism?,Kesh,,misinfo,no_valid_conflict_pair,,,,,
qacc-1043,Who has been appointed as the new chief of board of control for cricket in india (bcci)?,Rahul Johri,Roger Binny | Ajit Agarkar ,temporal,,,,,,
qacc-1048,Who does jake t austin play in emoji movie?,Alex,,misinfo,no_valid_conflict_pair,,,,,
qacc-1050,Where does the guadalupe river in texas start?,Kerr County,"Kerrville, Texas",misinfo,,,,,,
qacc-1056,An object that has mass and occupies space is known as?,Matter,,misinfo,no_valid_conflict_pair,,,,,
qacc-1057,Visa requirements for australian citizens travelling to south korea?, K-ETA,,misinfo,no_valid_conflict_pair,,,,,
qacc-1061,Who plays goddess of love in gods of egypt?,Élodie Yung,,misinfo,no_valid_conflict_pair,,,,,
qacc-1062,When was first teacher's day celebrated in india?,1962,5 September,misinfo,,,,,,
qacc-1063,who sings the skye boat song on outlander?,Bear McCreary,Sinéad O'Connor  | ,misinfo,,,,,,
qacc-1065,where is urinary bladder located in human body?,lower part of your abdomen,below the ribs | ,misinfo,,,,,,
qacc-1068,when does agents of shield season five start?,2017,2019 | ,misinfo,,,,,,
qacc-1070,what is the revolution period of venus in earth years?,224.7 Earth days,243 days | 224 days,misinfo,,,,,,
qacc-1078,who was executed for being an american spy during the revolutionary war?,Nathan Hale,André | ,misinfo,,,,,,
qacc-1080,what is the approximate volume of blood in your body?,5-6 liters,4-5 liters | 10 units,misinfo,,,,,,
qacc-1084,when did the name of bombay change to mumbai?,1995,1996 | ,misinfo,,,,,,
qacc-1086,when does the 14th season of grey's anatomy come out?,"February 10, 2017","Thursday, March 14 | ",misinfo,,,,,,
qacc-1094,what was the purpose of a revival meeting during the second great awakening?,Reignite spirituality ,Invigorate churches | ,misinfo,,,,,,
qacc-1102,the recipient of first jnanpith award was an author which language?,G. Sankara Kurup,Tarashankar Bandopadhyay | Ashapoorna Devi,temporal,,,,,,
qacc-1106,who added a press room to the white house?,Richard M. Nixon,Obama | ,temporal,,,,,,
qacc-1107,what is the angle of the tower of pisa?,3.99,5.5 | 4,temporal,,,,,,
qacc-1109,isdn uses b & d channels. what is d channel use for?,Signaling ,Synchronization  | ,temporal,,,,,,
qacc-1112,who has won the most superbowls as a player?,Tom Brady,Haley | Ken Norton Jr.,misinfo,,,,,,
qacc-1114,when is last time the astros won the world series?,2022,2017 | 2016,temporal,no_valid_conflict_pair,,,,,
qacc-1116,how tall is the actor who plays hagrid in harry potter?,"6'1""","11'6"" | ",misinfo,,,,,,
qacc-1119,first jnanpith award was an autor of which language?,English-language,Konkani language | ,misinfo,,,,,,
qacc-1121,which is produced in plants of narora kakrapar tarapur?,Atomic Energy,components for PHWRs | ,misinfo,,,,,,
qacc-1122,mount everest is part of what mountain range?,tall mountain range,"14,000-foot - 29,028 feet. | ",misinfo,,,,,,
qacc-1123,when does congress declare war for the first time?,1812,"On April 2, 1917 | ",temporal,,,,,,
qacc-1124,how many times have real madrid won the european cup.in paris?,14-time,12 | 3,temporal,,,,,,
qacc-1130,when did the song holiday road come out?,1983,1981 |  July 2015,misinfo,,,,,,
qacc-1133,what is the most common blood type in sweden?,A+,group B | ,temporal,,,,,,
qacc-1138,who has the most restaurants in the world?,Subway,burger behemoth | McDonald's,misinfo,,,,,,
qacc-1141,where does the last name andersen originate from?,"Norwegian Danish, North German",Britain and Scandinavia | Scotch-Irish,misinfo,,,,,,
qacc-1148,why is the indian ocean the warmest in the world?,Ocean surface temp rise,Location and ocean current  | ,misinfo,,,,,,
qacc-1150,who wrote how do you do it by gerry and the pacemakers?,Mitch Murray,Gerry Marsden | ,misinfo,,,,,,
qacc-1151,who become the ceo of it wipro company in 2016?,Abidali Neemuchwala,Kurien | Azim Premji,temporal,,,,,,
qacc-1156,what is the approximate volume of blood in your body?,5-6 liters,1.2-1.5 gallons | ,misinfo,,,,,,
qacc-1159,who was the 11th prime minister of canada?,Richard Bedford Bennett,Harper | Justin Trudeau,temporal,,,,,,
qacc-1160,where is the country music hall of fame located?,"Nashville, Tennessee",the historic Ryman Auditorium | ,misinfo,,,,,,
qacc-1167,how many episodes in season 2 of fargo?,two episodes, 10 episodes | ,temporal,,,,,,
qacc-1168,what is the significance of the sahara desert?,The world's largest desert,bring old testament to life | ,misinfo,,,,,,
qacc-1172,who voices randy in f is for family?,T.J. Miller,Randy Watkins | ,misinfo,,,,,,
qacc-1187,who sings the song i want to go outside in the rain?,the Dramatics,Milira | ,misinfo,,,,,,
qacc-1195,where do most star formation occur in the milky way today?,spiral arms.,Orion Nebula Cluster | ,misinfo,,,,,,
qacc-1200,who was the editor of the journal jugantor published in the time of swadeshi movement?,Bhupendranath Dutt ,Barindra Kumar Ghosh | ,misinfo,,,,,,
qacc-1204,consist of the sum of the fixed and variable costs for any given level of production?,Total cost ,Production cost | ,misinfo,,,,,,
