question_id,verdict,conflict_type,model
qacc-0376,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0402,soft,,Qwen/Qwen3.6-27B
qacc-0404,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0420,soft,,Qwen/Qwen3.6-27B
qacc-0424,soft,,Qwen/Qwen3.6-27B
qacc-0433,soft,,Qwen/Qwen3.6-27B
qacc-0435,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0436,soft,,Qwen/Qwen3.6-27B
qacc-0438,soft,,Qwen/Qwen3.6-27B
qacc-0453,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0456,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0457,soft,,Qwen/Qwen3.6-27B
qacc-0462,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0465,soft,,Qwen/Qwen3.6-27B
qacc-0466,soft,,Qwen/Qwen3.6-27B
qacc-0468,sharp,conflicting_opinions,Qwen/Qwen3.6-27B
qacc-0470,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0473,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0474,soft,,Qwen/Qwen3.6-27B
qacc-0476,soft,,Qwen/Qwen3.6-27B
qacc-0477,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0485,soft,,Qwen/Qwen3.6-27B
qacc-0491,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0492,soft,,Qwen/Qwen3.6-27B
qacc-0495,soft,,Qwen/Qwen3.6-27B
qacc-0498,soft,,Qwen/Qwen3.6-27B
qacc-0504,soft,,Qwen/Qwen3.6-27B
qacc-0505,soft,,Qwen/Qwen3.6-27B
qacc-0508,soft,,Qwen/Qwen3.6-27B
qacc-0511,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0517,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0518,soft,,Qwen/Qwen3.6-27B
qacc-0521,soft,,Qwen/Qwen3.6-27B
qacc-0532,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0535,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0538,soft,,Qwen/Qwen3.6-27B
qacc-0539,soft,,Qwen/Qwen3.6-27B
qacc-0540,soft,,Qwen/Qwen3.6-27B
qacc-0550,soft,,Qwen/Qwen3.6-27B
qacc-0551,soft,,Qwen/Qwen3.6-27B
qacc-0553,soft,,Qwen/Qwen3.6-27B
qacc-0561,soft,,Qwen/Qwen3.6-27B
qacc-0562,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0573,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0574,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0582,soft,,Qwen/Qwen3.6-27B
qacc-0583,soft,,Qwen/Qwen3.6-27B
qacc-0584,soft,,Qwen/Qwen3.6-27B
qacc-0585,soft,,Qwen/Qwen3.6-27B
qacc-0589,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0598,soft,,Qwen/Qwen3.6-27B
qacc-0601,soft,,Qwen/Qwen3.6-27B
qacc-0605,soft,,Qwen/Qwen3.6-27B
qacc-0606,soft,,Qwen/Qwen3.6-27B
qacc-0612,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0615,soft,,Qwen/Qwen3.6-27B
qacc-0619,soft,,Qwen/Qwen3.6-27B
qacc-0627,soft,,Qwen/Qwen3.6-27B
qacc-0640,soft,,Qwen/Qwen3.6-27B
qacc-0647,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0649,soft,,Qwen/Qwen3.6-27B
qacc-0652,soft,,Qwen/Qwen3.6-27B
qacc-0657,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0658,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0659,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0663,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0668,soft,,Qwen/Qwen3.6-27B
qacc-0676,soft,,Qwen/Qwen3.6-27B
qacc-0677,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0679,soft,,Qwen/Qwen3.6-27B
qacc-0683,soft,,Qwen/Qwen3.6-27B
qacc-0684,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0691,soft,,Qwen/Qwen3.6-27B
qacc-0695,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0699,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0700,soft,,Qwen/Qwen3.6-27B
qacc-0706,soft,,Qwen/Qwen3.6-27B
qacc-0711,soft,,Qwen/Qwen3.6-27B
qacc-0713,soft,,Qwen/Qwen3.6-27B
qacc-0714,soft,,Qwen/Qwen3.6-27B
qacc-0729,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0733,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0738,soft,,Qwen/Qwen3.6-27B
qacc-0739,soft,,Qwen/Qwen3.6-27B
qacc-0741,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0742,soft,,Qwen/Qwen3.6-27B
qacc-0743,soft,,Qwen/Qwen3.6-27B
qacc-0745,soft,,Qwen/Qwen3.6-27B
qacc-0746,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0751,soft,,Qwen/Qwen3.6-27B
qacc-0754,soft,,Qwen/Qwen3.6-27B
qacc-0761,soft,,Qwen/Qwen3.6-27B
qacc-0763,soft,,Qwen/Qwen3.6-27B
qacc-0764,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0777,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0778,soft,,Qwen/Qwen3.6-27B
qacc-0780,soft,,Qwen/Qwen3.6-27B
qacc-0781,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0782,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0791,soft,,Qwen/Qwen3.6-27B
qacc-0793,soft,,Qwen/Qwen3.6-27B
qacc-0796,soft,,Qwen/Qwen3.6-27B
qacc-0807,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0808,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0810,soft,,Qwen/Qwen3.6-27B
qacc-0833,soft,,Qwen/Qwen3.6-27B
qacc-0836,soft,,Qwen/Qwen3.6-27B
qacc-0837,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0843,soft,,Qwen/Qwen3.6-27B
qacc-0847,soft,,Qwen/Qwen3.6-27B
qacc-0848,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0849,soft,,Qwen/Qwen3.6-27B
qacc-0850,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0853,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0855,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0856,soft,,Qwen/Qwen3.6-27B
qacc-0870,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0874,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0875,soft,,Qwen/Qwen3.6-27B
qacc-0877,soft,,Qwen/Qwen3.6-27B
qacc-0878,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0880,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0885,sharp,conflicting_opinions,Qwen/Qwen3.6-27B
qacc-0887,soft,,Qwen/Qwen3.6-27B
qacc-0890,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0894,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0895,soft,,Qwen/Qwen3.6-27B
qacc-0897,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0898,soft,,Qwen/Qwen3.6-27B
qacc-0901,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0908,soft,,Qwen/Qwen3.6-27B
qacc-0913,soft,,Qwen/Qwen3.6-27B
qacc-0931,soft,,Qwen/Qwen3.6-27B
qacc-0933,soft,,Qwen/Qwen3.6-27B
qacc-0936,soft,,Qwen/Qwen3.6-27B
qacc-0937,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0939,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0941,soft,,Qwen/Qwen3.6-27B
qacc-0943,soft,,Qwen/Qwen3.6-27B
qacc-0945,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0946,soft,,Qwen/Qwen3.6-27B
qacc-0951,soft,,Qwen/Qwen3.6-27B
qacc-0958,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0962,soft,,Qwen/Qwen3.6-27B
qacc-0965,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0968,soft,,Qwen/Qwen3.6-27B
qacc-0970,soft,,Qwen/Qwen3.6-27B
qacc-0973,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0974,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0979,soft,,Qwen/Qwen3.6-27B
qacc-0981,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0982,soft,,Qwen/Qwen3.6-27B
qacc-0985,sharp,conflicting_opinions,Qwen/Qwen3.6-27B
qacc-0988,soft,,Qwen/Qwen3.6-27B
qacc-0989,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0999,soft,,Qwen/Qwen3.6-27B
qacc-1001,soft,,Qwen/Qwen3.6-27B
qacc-1003,soft,,Qwen/Qwen3.6-27B
qacc-1007,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1009,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1025,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1026,soft,,Qwen/Qwen3.6-27B
qacc-1029,soft,,Qwen/Qwen3.6-27B
qacc-1030,soft,,Qwen/Qwen3.6-27B
qacc-1033,soft,,Qwen/Qwen3.6-27B
qacc-1040,soft,,Qwen/Qwen3.6-27B
qacc-1041,soft,,Qwen/Qwen3.6-27B
qacc-1043,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1048,soft,,Qwen/Qwen3.6-27B
qacc-1050,soft,,Qwen/Qwen3.6-27B
qacc-1056,soft,,Qwen/Qwen3.6-27B
qacc-1057,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1061,soft,,Qwen/Qwen3.6-27B
qacc-1062,soft,,Qwen/Qwen3.6-27B
qacc-1063,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1065,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1068,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1070,soft,,Qwen/Qwen3.6-27B
qacc-1078,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1080,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1084,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1086,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1094,soft,,Qwen/Qwen3.6-27B
qacc-1102,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1106,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1107,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1109,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1112,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1114,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1116,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1119,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1121,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1122,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1123,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1124,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1130,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1133,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1138,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1141,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1148,soft,,Qwen/Qwen3.6-27B
qacc-1150,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1151,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1156,soft,,Qwen/Qwen3.6-27B
qacc-1159,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1160,soft,,Qwen/Qwen3.6-27B
qacc-1167,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1168,soft,,Qwen/Qwen3.6-27B
qacc-1172,soft,,Qwen/Qwen3.6-27B
qacc-1187,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1195,soft,,Qwen/Qwen3.6-27B
qacc-1200,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1204,soft,,Qwen/Qwen3.6-27B
qacc-1206,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1207,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1209,soft,,Qwen/Qwen3.6-27B
qacc-1232,soft,,Qwen/Qwen3.6-27B
qacc-1237,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1256,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1271,soft,,Qwen/Qwen3.6-27B
qacc-1277,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1283,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1287,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1295,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1296,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1297,soft,outdated,Qwen/Qwen3.6-27B
qacc-1302,soft,,Qwen/Qwen3.6-27B
qacc-1304,soft,,Qwen/Qwen3.6-27B
qacc-1326,soft,,Qwen/Qwen3.6-27B
qacc-1327,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1331,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1333,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1339,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1341,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1344,soft,,Qwen/Qwen3.6-27B
qacc-1347,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1348,soft,,Qwen/Qwen3.6-27B
qacc-1349,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1354,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1357,soft,,Qwen/Qwen3.6-27B
qacc-1366,soft,,Qwen/Qwen3.6-27B
qacc-1373,soft,,Qwen/Qwen3.6-27B
qacc-1377,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1381,soft,,Qwen/Qwen3.6-27B
qacc-1394,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1402,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1405,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1409,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1414,soft,,Qwen/Qwen3.6-27B
qacc-1417,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1421,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1423,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1424,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1426,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1430,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1434,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1445,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1447,soft,,Qwen/Qwen3.6-27B
qacc-1453,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1468,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1470,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1477,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1489,soft,,Qwen/Qwen3.6-27B
qacc-1497,soft,,Qwen/Qwen3.6-27B
qacc-1499,soft,,Qwen/Qwen3.6-27B
qacc-1500,soft,,Qwen/Qwen3.6-27B
qacc-1503,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1504,soft,,Qwen/Qwen3.6-27B
qacc-1511,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1521,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1522,soft,,Qwen/Qwen3.6-27B
qacc-1527,soft,,Qwen/Qwen3.6-27B
qacc-1531,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1552,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1554,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1557,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1565,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1574,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1575,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1580,sharp,outdated,Qwen/Qwen3.6-27B
qacc-1581,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1585,soft,,Qwen/Qwen3.6-27B
qacc-1588,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-1598,soft,,Qwen/Qwen3.6-27B
qacc-1602,sharp,misinformation,Qwen/Qwen3.6-27B
