question_id,doc_id,conflict_type,question,correct_answer,date,a3,label_llm,supported_answer_llm,label_reviewed,note,text
dragged-0155,7,misinformation,How many FIFA World Cups has Argentina won?,3,2025-01-21,missing,noise,,conflict,'won the World Cup twice' (2022 이전) → 구버전 답 주장,"How Many Times Has Argentina Won The FIFA World Cup? | OneFootball How Many Times Has Argentina Won The FIFA World Cup? The 2022 FIFA World Cup is set to be held in Qatar for the first time in the competition’s history with 32 top countries of world football getting ready to battle it out among themselves come November. Argentina will be one of the teams that will be looking to make their mark in the tournament as they are currently enjoying a 33-match unbeaten run in international football. OneFootball Videos Lionel Messi and co. would be eager to prove their worth at the biggest stage of them all and help the South American country win another World Cup. However, it will be easier said than done as they will have to fight off some stiff competition on the road to the final which will be held at the Lusail Stadium on December 18 later this year. Argentina won their first World Cup in 1978 when they hosted the competition on home soil. They eventually ended up winning the tournament on 25 June of that year after beating the Netherlands in the final by a 3-1 scoreline. Argentine legend Mario Kempes was chosen as the golden ball recipient for his contributions in that tournament. Argentina How Many Times Have They won The World Cup? Argentina has won the FIFA World Cup twice so far. As mentioned earlier, they won it for the first time in 1978 before going on to lift the famous trophy once again in 1986. The South American nation bagged their second World Cup on 29 June of that year when they secured a 3-2 victory over West Germany in the final. Diego Maradona was voted as the best player of the tournament after he scored five goals and earned one assist throughout the competition. They have finished as the runners-up in the World Cup three times (1930, 1990 and 2014). After the 2014 heartbreak, the nation would be eager to right the wrongs of the yesteryears. We can expect a lot to ride on their head coach Lionel Scaloni and how he handles his players during the tournament."
dragged-0257,4,misinformation,What is the best-selling jazz album of all time?,Kind of Blue,,0,noise,,noise,,"This is a list of certified jazz recordings, which also represents best-selling jazz recordings. Contents. 1 Jazz recordings. 1.1 Studio albums; 1.2 Live ..."
dragged-0422,3,misinformation,When did season 5 of prison break come out?,"April 4, 2017",2024-08-02,0,noise,,noise,,"The first season aired in 2005, and the final season aired in 2017. Is there a Prison Break Season 5? Yes, Season 5 is the final season of ..."
dragged-0422,5,misinformation,When did season 5 of prison break come out?,"April 4, 2017",2024-08-01,0,conflict,"May 30, 2017",conflict,,"When did season 5 of Prison Break come out? Release details and more explored When did season 5 of Prison Break come out? Release details and more explored Dominic Purcell as Lincoln Burrows in an episode from Prison Break (via Fox) Prison Break is an American drama series that first aired on August 29, 2005. The show ran for five seasons, the last of which came out on May 30, 2017. The series follows Lincoln Burrow who is sentenced and jailed on a murder charge. However, his brother Michael is convinced of his innocence and tries to derive a plan of escape. Throughout the ensuing seasons, the story switches between Michael and Lincoln's perspectives as they break out of prison, quite literally. The official summary for Prison Break reads: ""A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside. "" When was season 5 of Prison Break released? Season 5 of the series was released on May 30, 2017. It was filmed primarily in Dallas, Panama City and Los Angeles, California, which differs from earlier seasons, which were centred around Chicago and Illinois. Though season 1 received multiple accolades and award nominations, season 5 premiered to mixed reviews from the audience and critics. The season has a 52% on Rotten Tomatoes presently. Who were the cast members in season 5 of PrisonBreak? Many of the main cast members in the series returned to reprise their roles in season 5. Wentworth Miller and Dominic Purcell essayed the main character roles of Michael and Lincoln respectively."
dragged-0438,7,misinformation,when was nutella first sold,1964,2023-12-14,0,conflict,"by 1961, it went through another adaptation and was first sold under the brand name Nutella.",conflict,,"Nutella Has Been Around Much Longer Than You'd Think The thick, chocolatey spread known around the world as Nutella is quite the contemporary fascination, and frequently reenters culinary trends as part of buzz-worthy desserts, new grocery store products, and viral social media recipes. It's hard to imagine the brand's small plastic jars and brightly colored-labels outside of a modern grocery store or breakfast table, but this beloved chocolate-hazelnut spread has a long and fascinating history. One of the things you likely didn't know about Nutella is that it was invented in Piedmont, Italy as a solution to wartime food rationing, just after the end of World War II. In 1946, as the availability of cocoa in Europe dwindled, pastry chef Pietro Ferrero created his own chocolate-hazelnut paste product, which he called Giandujot. This paste stretched out smaller quantities of expensive cocoa by combining it with nuts and sugar. It was later tweaked to become a spread called La Supercrema, and by 1961, it went through another adaptation and was first sold under the brand name Nutella. However, the concept of Ferrero's chocolate-hazelnut paste long predates World War II, with similar products being made in the same region as far back as the early 1800s. The story of Italy's love for hazelnut paste begins before the country was even united as Italy, which happened in 1861. Nutella's Italian origins Gcapture/Getty Images If you know a little bit about Italian history, it makes perfect sense that Ferrero created Nutella in the Piedmont region."
dragged-0012,3,outdated,When does this year's Passover start?,"begins at sundown on Saturday, April 12.",2023-05-25,0,conflict,"in the evening of Monday, April 22",conflict,,"Passover will begin in the evening of Monday, April 22, and will last through April 30 just after sundown."
dragged-0012,5,outdated,When does this year's Passover start?,"begins at sundown on Saturday, April 12.",2024-03-29,0,conflict,"before sundown on Monday, April 22",conflict,,"When is Passover 2024? This year, Passover begin before sundown on Monday, April 22 and ends after nightfall on April 30 in the United States."
dragged-0018,0,outdated,how many people in israel per square mile,"1,098",2000-06-30,0,noise,,noise,,"Notes The Israel Population (Live) counter shows a continuously updated estimate of the current population of Israel delivered by Worldometer’s RTS algorithm, which processes data collected from the United Nations Population Division. The Population of Israel (1950 - 2025) chart plots the total population count as of July 1 of each year, from 1950 to 2025. The Yearly Population Growth Rate chart plots the annual percentage changes in population registered on July 1 of each year, from 1951 to 2025. This value can differ from the Yearly % Change shown in the historical table, which shows the last year equivalent percentage change assuming homogeneous change in the preceding five year period. Definitions Year: as of July 1 of the year indicated. Population: Overall total population (both sexes and all ages) in the country as of July 1 of the year indicated, as estimated by the United Nations, Department of Economic and Social Affairs, Population Division. World Population Prospects: The 2024 Revision. For forecasted years, the U.N. medium-fertility variant is used. Yearly % Change: For 2025: percentage change in total population over the last year (from July 1, 2024 to June 30, 2025). For all other years: latest year annual percentage change equivalent assuming homogeneous change in the preceding five year period, calculated through reverse compounding. Yearly Change: For 2025: absolute change in total population (increase or decrease in number of people) over the last year (from July 1, 2024 to June 30, 2025). For all other years: average annual numerical change over the preceding five year period. Migrants (net): The average annual number of immigrants minus the number of emigrants over the preceding five year period (running from July 1 to June 30 of the initial and final years), or subsequent five year period (for 2016 data). A negative number means that there are more emigrants than immigrants."
dragged-0021,6,outdated,who is the director of the fbi,Kash Patel,2025-03-31,0,noise,,noise,,"In 1964, just days before Hoover testified in the earliest stages of the Warren Commission hearings, President Lyndon B. Johnson waived the then mandatory U.S. Government Service Retirement Age of 70, allowing Hoover to remain the FBI Director ""for an indefinite period of time"".[98] The House Select Committee on Assassinations issued a report in 1979 critical of the performance by the FBI, the Warren Commission, and other agencies. The report criticized the FBI's (Hoover's) reluctance to investigate thoroughly the possibility of a conspiracy to assassinate the President.[99][100] When Nixon took office in January 1969, Hoover had just turned 74. There was a growing sentiment in Washington, D.C., that the aging FBI chief should retire, but Hoover's power and friends in Congress remained too strong for him to be forced to do so.[101] Hoover remained director of the FBI until he died of a heart attack in his Washington home, on May 2, 1972,[102] whereupon operational command of the Bureau was passed onto Associate Director Clyde Tolson. On May 3, 1972, Nixon appointed L. Patrick Gray – a Justice Department official with no FBI experience – as acting director of the FBI, with W. Mark Felt becoming associate director.[103] Legacy FBI For better or worse, he built the FBI into a modern, national organization stressing professionalism and scientific crime-fighting. For most of his life, Americans considered him a hero. He made the G-Man brand so popular that, at its height, it was harder to become an FBI agent than to be accepted into an Ivy League college.[94] Hoover worked to groom the image of the FBI in American media; he was a consultant to Warner Brothers for a theatrical film about the FBI, The FBI Story (1959), and in 1965 on Warner's long-"
dragged-0021,7,outdated,who is the director of the fbi,Kash Patel,2025-02-21,0,noise,,noise,,"Our systems have detected unusual traffic from your computer network. This page checks to see if it's really you sending the requests, and not a robot. Why did this happen? This page appears when Google automatically detects requests coming from your computer network which appear to be in violation of the Terms of Service. The block will expire shortly after those requests stop. In the meantime, solving the above CAPTCHA will let you continue to use our services. This traffic may have been sent by malicious software, a browser plug-in, or a script that sends automated requests. If you share your network connection, ask your administrator for help — a different computer using the same IP address may be responsible. Learn more Sometimes you may be asked to solve the CAPTCHA if you are using advanced terms that robots are known to use, or sending requests very quickly."
dragged-0028,0,outdated,When is the next U.S. federal holiday?,"Memorial Day, on Monday, May 26, 2025.",2010-01-01,0,noise,,noise,,"*This holiday is designated as ""Inauguration Day"" in section 6103(c) of title 5 of the United States Code, which is the law that specifies holidays for Federal employees. Federal employees in the Washington, DC, area are entitled to a holiday on the day a President is inaugurated on January 20th for each fourth year after 1965. **This holiday is designated as ""Washington's Birthday""; in section 6103(a) of title 5 of the United States Code, which is the law that specifies holidays for Federal employees. Though other institutions such as state and local governments and private businesses may use other names, it is our policy to always refer to holidays by the names designated in the law. OPM web site: ""Federal law (5 U.S.C., § 6103) establishes [these] public holidays for Federal employees. Please note that most Federal employees work on a Monday through Friday schedule. For these employees, when a holiday falls on a nonworkday -- Saturday or Sunday -- the holiday usually is observed on Monday (if the holiday falls on Sunday) or Friday (if the holiday falls on Saturday)."""
dragged-0028,2,outdated,When is the next U.S. federal holiday?,"Memorial Day, on Monday, May 26, 2025.",2025-01-01,0,correct,,correct,,"List of Federal Holidays - FederalPay.org There are eleven Federal Holidays recognized by the United States Government (5 U.S.C. 6103). On these days, all non-essential government employees are off work, and most government offices (including post offices) are closed. States and private companies are not required to observe federal holidays, but most state and local governments as well as many private businesses are also closed on these days. When is the next federal holidays? The next federal holiday is Memorial Day. Memorial Day is 52 days away and will be observed on Monday, May 26, 2025. Print & Download Federal Holidays Use the links below to download or print holidays tables. The calendar link can be used to import federal holidays into any major calendar softwares including Microsoft Outlook, Apple Calendar, Google Calendar. You can use the JSON or XML link to add federal holidays into your website or application. Is the post office closed on federal holidays? The Postal Service is part of the Executive Branch of the Federal Government. That means USPS is required to observe all federal holidays. All post offices will be closed, and mail will not be delivered on MLK Day, President's Day, Columbus Day, and all other federal holidays. If New Year's Day falls on a Saturday, the preceding day will be observed as a federal holiday. This occurred on January 1st, 2022. That year January only had one holiday and the preceding December had have a holiday on December 31st, 2021. In 2023, January 1st was a Sunday so the holiday was be observed on January 2nd. When did Juneteenth become a federal holiday? Juneteenth became a federal holiday in June 2021. As part of America's racial reckoning, which included removal statues of Confederate soldiers and movements such as Black Lives Matter, Congress passed the ""Juneteenth National Independence Day Act"" which made June 19th a federal holiday."
dragged-0028,8,outdated,When is the next U.S. federal holiday?,"Memorial Day, on Monday, May 26, 2025.",2025-01-01,0,correct,Memorial Day (May last Monday),noise,휴일 목록일 뿐 '다음 휴일' 미답 → 무관,"The U.S. has 11 federal holidays, including New Year's Day (Jan 1), Juneteenth (June 19), Independence Day (July 4), Memorial Day (May last Monday), and Thanksgiving (Nov 4th)."
dragged-0056,1,outdated,Who won the latest Ballon D'or?,Rodri,2025-03-23,0,noise,,noise,,"Ballon d'Or The Ballon d'Or (French pronunciation:[balɔ̃dɔʁ]ⓘ; lit.'Golden Ball') is an annual football award presented by French magazine France Football since 1956 to honour the player deemed to have performed the best over the previous season. Conceived by sports writers Gabriel Hanot and Jacques Ferran, the Ballon d'Or was based exclusively on voting by football journalists up until 2006. Originally, it was awarded only to players from Europe and was widely known as the European Footballer of the Year award. In 1995, the Ballon d'Or was expanded to include all players of any origin that have been active at European clubs. The award became a global prize in 2007 with all professional footballers from around the world being eligible; additionally, coaches and captains of national teams were also given the right to vote, before reverting to just journalists in 2016. Between 2010 and 2015, in an agreement with FIFA, the award was temporarily merged with the FIFA World Player of the Year, and was known as the FIFA Ballon d'Or. That partnership ended in 2016, and the award reverted to the Ballon d'Or, while FIFA also reverted to its own separate annual award, The Best FIFA Men's Player. In 2022, France Football modified the rules for the Ballon d'Or. The timing was changed so that awards were given not for achievements during a calendar year, but for a football season, and it was also determined that an international jury of specialized journalists, with one representative per country, from the top 100 in the latest FIFA Men's World Ranking would elect the winner of the award. UEFA co-organizes the Ballon d'Or gala since 2024, with France Football retaining the voting system and the Ballon d'Or name."
dragged-0069,2,outdated,how many billionaires are there,around 3000,2025-04-01,0,correct,"There are now more than 3,000 billionaires in the world",correct,,"Forbes unveils the 2025 billionaires list. Here are the top 10There are now more than 3,000 billionaires in the world, according to Forbes' annual ranking of the wealthiest people. They collectively hold about $16.1 trillion in wealth. The 39th annual version is out now and includes 3,028 billionaires, the most ever recorded by Forbes. Forbes senior editor Chase Peterson-Withorn told Morning Edition the annual world's billionaires list has $2 trillion more in wealth from just a year ago. In total, they have an estimated $16.1 trillion in riches. How does Forbes put this list together? Peterson-Withorn said upwards of 100 reporters around the world work on the list, combing through everything from shares in publicly traded companies, trying to value private companies, looking at cash and investments, and how billionaires might be spending their money in their down time. ""Everything from art and yachts and car collections and dinosaur bone collections and all kinds of crazy stuff billionaires own,"" Peterson-Withorn said. ""So it's sort of what the total value of all of their assets are minus any debt that they have. "" Some billionaires do open up to Forbes, Peterson-Withorn said, but for those who don't, reporters also look at government registries, legal filings and offshore registries. They work with information leaks and interview billionaires, their handlers and their competitors to try to find ""answers to questions that a lot of billionaires maybe would rather we don't ask. "" So who tops this year's list? The U.S. has the most billionaires with 902, followed by China and Hong Kong at 516. India has the third most with 205. Here are the top 10 ranked by wealth and by how they came by their fortunes: How might the public feel about billionaires these days?"
dragged-0069,6,outdated,how many billionaires are there,around 3000,2023-11-29,0,correct,"there are 2,640 billionaires",conflict,"2,640 (2023) — 구버전 수치 → 충돌","Which U.S. States Have the Most Billionaires? A calculation of how many billionaires there are in the world for Forbes’s 37th Annual World’s Billionaires List found that there are 2,640 billionaires, and these people have a combined worth of $12.2 trillion. The total world wealth reached $454.4 trillion by the end of 2022, which means that billionaires around the world possess around 2% of all of the money in the world, despite making up a minuscule fraction of the global population. How Many Billionaires Are in the United States? America is home to 759 billionaires. The estimated that U.S. billionaire total wealth was a combined $4.48 trillion as of November 2022, an amount that grew grown a staggering 50% since before to the pandemic. It is easy to imagine how the 1% lives with this astonishing wealth, but where does the 1% live? The team at Madison Trust has visualized which U.S. states have the most billionaires based on the number of billionaires per million people. Check it out: Where Do Billionaires Live in the United States?"
dragged-0071,4,outdated,In what country was the most recent winner of the Nobel Prize for Literature born?,South Korea,2025-04-03,0,noise,,noise,,"Share this Abdulrazak Gurnah Facts Prize motivation: “for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents” Prize share: 1/1 Work The theme of the refugee’s disruption runs throughout Abdulrazak Gurnah's work. He grew up on the island of Zanzibar, but in the 1960s oppression and persecution of citizens of Arab origin forced him to leave the country. Eventually he settled in England. His novels depict a culturally diversified East Africa. Gurnah’s dedication to truth and his aversion to simplification are striking. This can make him bleak and uncompromising, at the same time as he follows the fates of individuals with great compassion and unbending commitment. Nobel Prizes and laureates Six prizes were awarded for achievements that have conferred the greatest benefit to humankind. The 12 laureates' work and discoveries range from proteins' structures and machine learning to fighting for a world free of nuclear weapons. See them all presented here. Explore prizes and laureates Look for popular awards and laureates in different fields, and discover the history of the Nobel Prize."
dragged-0071,6,outdated,In what country was the most recent winner of the Nobel Prize for Literature born?,South Korea,2025-04-03,0,noise,,noise,,The Nobel Prize in Literature has been awarded 117 times to 121 Nobel Prize laureates between 1901 and 2024. Click on the links to get more information.
dragged-0071,7,outdated,In what country was the most recent winner of the Nobel Prize for Literature born?,South Korea,2021-07-06,0,noise,,noise,,"Polish Nobel Prize Laureates The Nobel Prize is the highest honour that scientists and writers can receive for their work. Nobel Prizes are awarded in the fields of Physics, Chemistry, Physiology or Medicine, Literature, and Peace. Alfred Nobel characterized the Peace Prize as “to the person who has done the most or best to advance fellowship among nations, the abolition or reduction of standing armies, and the establishment and promotion of peace congresses"" Alfred Nobel’s will – The establishment of the Nobel Prize, www.nobelprize.org. Nobel Foundation Polish Nobel Prize Laureates Olga Tokarczuk Born: 29 January 1962, Sulechow, Poland The Nobel Prize in Literature 2018 Prize motivation: “for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life. "" Olga Tokarczuk – mysticism, feminism and a conservative battlefield Olga Tokarczuk was awarded the Nobel Prize in Literature for 2018 in December 2019, becoming the fifth Polish-language laureate. For decades, she has been the best-selling author in Poland. Tokarczuk gained international popularity after becoming the first Polish author to win the Man Booker International Award in 2018 for Flights (Bieguni). What is significant about Tokarczuk’s works is a unique, mythical tone. Her novels are often puzzling and complicated, as readers face frequent shifts of centuries, places, perspectives, and mythologies. Tokarczuk was born in 1962 in Sulechow, near Zielona Gora, in Western Poland. She graduated from Psychology at the University of Warsaw, where she began to write – publishing poems and some shorter prose writings. Tokarczuk is considered to be one of the most successful Polish writers in history. She has received numerous awards and distinctions and is an activist and a public intellectual. In a conservatively tuned country like Poland, her views are often seen as controversial, as she is a leftist, a vegetarian, an atheist, and a feminist."
dragged-0071,8,outdated,In what country was the most recent winner of the Nobel Prize for Literature born?,South Korea,2024-07-24,0,(blank),,conflict,'most recent = Louise Glück (2020)' → 구버전 답 주장 (LLM 빈칸),Who won the most recent Nobel Prize for literature? Nobel Prize for Literature 2020 was awarded to American poet Louise Glück. She has ...
dragged-0071,9,outdated,In what country was the most recent winner of the Nobel Prize for Literature born?,South Korea,2023-10-05,0,conflict,Born in 1959 on Norway's western coast,conflict,,"... Born in 1959 on Norway's western coast, the 64 ... Norwegian writer Jon Fosse awarded Nobel Prize in Literature • FRANCE 24 English."
