question_id,doc_id,label,source
dragged-0273,5,correct,rule_draft
dragged-0273,6,correct,rule_draft
dragged-0276,1,correct,rule_draft
dragged-0285,0,correct,rule_draft
dragged-0297,1,correct,rule_draft
dragged-0297,4,correct,a3_stringmatch
dragged-0297,6,correct,a3_stringmatch
dragged-0300,2,correct,rule_draft
dragged-0300,4,correct,a3_stringmatch
dragged-0310,0,correct,rule_draft
dragged-0316,3,correct,rule_draft
dragged-0316,5,correct,a3_stringmatch
dragged-0316,8,correct,a3_stringmatch
dragged-0332,4,correct,rule_draft
dragged-0339,0,correct,rule_draft
dragged-0369,8,correct,rule_draft
dragged-0380,2,correct,a3_stringmatch
dragged-0380,5,correct,a3_stringmatch
dragged-0380,7,correct,rule_draft
dragged-0380,8,correct,a3_stringmatch
dragged-0381,3,correct,a3_stringmatch
dragged-0381,4,correct,rule_draft
dragged-0381,5,correct,a3_stringmatch
dragged-0381,6,correct,a3_stringmatch
dragged-0384,4,correct,rule_draft
dragged-0387,0,correct,rule_draft
dragged-0387,1,correct,a3_stringmatch
dragged-0387,2,correct,a3_stringmatch
dragged-0387,3,correct,a3_stringmatch
dragged-0387,4,correct,a3_stringmatch
dragged-0387,5,correct,a3_stringmatch
dragged-0387,6,correct,a3_stringmatch
dragged-0387,7,correct,a3_stringmatch
dragged-0387,8,correct,a3_stringmatch
dragged-0393,0,correct,rule_draft
dragged-0393,2,correct,a3_stringmatch
dragged-0393,5,correct,a3_stringmatch
dragged-0393,6,correct,rule_draft
dragged-0393,7,correct,rule_draft
dragged-0395,0,correct,a3_stringmatch
dragged-0395,1,correct,a3_stringmatch
dragged-0395,5,correct,a3_stringmatch
dragged-0403,7,correct,rule_draft
dragged-0405,2,correct,rule_draft
dragged-0416,1,correct,a3_stringmatch
dragged-0416,2,correct,a3_stringmatch
dragged-0416,3,correct,a3_stringmatch
dragged-0416,4,correct,rule_draft
dragged-0416,5,correct,a3_stringmatch
dragged-0435,1,correct,rule_draft
dragged-0440,0,correct,a3_stringmatch
dragged-0440,3,correct,rule_draft
dragged-0440,4,correct,a3_stringmatch
dragged-0440,5,correct,a3_stringmatch
dragged-0440,7,correct,a3_stringmatch
dragged-0440,8,correct,a3_stringmatch
dragged-0448,8,correct,rule_draft
dragged-0450,1,correct,rule_draft
dragged-0451,1,correct,rule_draft
dragged-0451,2,correct,a3_stringmatch
dragged-0451,4,correct,a3_stringmatch
dragged-0451,6,correct,a3_stringmatch
dragged-0451,9,correct,a3_stringmatch
dragged-0452,6,correct,rule_draft
dragged-0454,2,correct,rule_draft
dragged-0455,0,correct,a3_stringmatch
dragged-0455,1,correct,rule_draft
dragged-0455,2,correct,a3_stringmatch
dragged-0455,4,correct,a3_stringmatch
dragged-0455,5,correct,a3_stringmatch
dragged-0455,7,correct,a3_stringmatch
dragged-0007,6,correct,a3_stringmatch
dragged-0007,8,correct,a3_stringmatch
dragged-0257,0,correct,a3_stringmatch
dragged-0257,2,correct,a3_stringmatch
dragged-0257,3,correct,a3_stringmatch
dragged-0257,5,correct,a3_stringmatch
dragged-0257,8,correct,a3_stringmatch
dragged-0422,2,correct,a3_stringmatch
dragged-0422,4,correct,a3_stringmatch
dragged-0438,0,correct,a3_stringmatch
dragged-0438,1,correct,a3_stringmatch
dragged-0438,3,correct,a3_stringmatch
dragged-0438,4,correct,a3_stringmatch
dragged-0438,5,correct,a3_stringmatch
dragged-0438,6,correct,a3_stringmatch
dragged-0012,0,correct,llm_gptoss
dragged-0012,1,correct,llm_gptoss
dragged-0012,2,conflict,llm_gptoss
dragged-0012,3,conflict,reviewed_claude_session
dragged-0012,4,conflict,llm_gptoss
dragged-0012,5,conflict,reviewed_claude_session
dragged-0012,6,correct,llm_gptoss
dragged-0012,8,correct,llm_gptoss
dragged-0012,9,conflict,llm_gptoss
dragged-0018,0,noise,reviewed_claude_session
dragged-0018,1,noise,llm_gptoss
dragged-0018,2,noise,llm_gptoss
dragged-0018,3,noise,llm_gptoss
dragged-0018,4,noise,llm_gptoss
dragged-0018,5,noise,llm_gptoss
dragged-0018,7,noise,llm_gptoss
dragged-0018,8,noise,llm_gptoss
dragged-0021,0,noise,llm_gptoss
dragged-0021,3,conflict,llm_gptoss
dragged-0021,6,noise,reviewed_claude_session
dragged-0021,7,noise,reviewed_claude_session
dragged-0028,0,noise,reviewed_claude_session
dragged-0028,2,correct,reviewed_claude_session
dragged-0028,3,correct,llm_gptoss
dragged-0028,4,correct,llm_gptoss
dragged-0028,5,noise,llm_gptoss
dragged-0028,6,noise,llm_gptoss
dragged-0028,7,correct,llm_gptoss
dragged-0028,8,noise,reviewed_claude_session
dragged-0031,0,noise,llm_gptoss
dragged-0031,1,noise,llm_gptoss
dragged-0031,2,noise,llm_gptoss
dragged-0031,3,noise,llm_gptoss
dragged-0031,5,conflict,llm_gptoss
dragged-0056,1,noise,reviewed_claude_session
dragged-0056,2,noise,llm_gptoss
dragged-0056,3,conflict,llm_gptoss
dragged-0056,4,conflict,llm_gptoss
dragged-0056,5,noise,llm_gptoss
dragged-0064,1,noise,llm_gptoss
dragged-0064,5,noise,llm_gptoss
dragged-0064,8,noise,llm_gptoss
dragged-0069,0,conflict,llm_gptoss
dragged-0069,1,noise,llm_gptoss
dragged-0069,2,correct,reviewed_claude_session
dragged-0069,3,noise,llm_gptoss
dragged-0069,4,correct,llm_gptoss
dragged-0069,5,noise,llm_gptoss
dragged-0069,6,conflict,reviewed_claude_session
dragged-0069,7,noise,llm_gptoss
dragged-0069,8,noise,llm_gptoss
dragged-0069,9,correct,llm_gptoss
dragged-0071,0,noise,llm_gptoss
dragged-0071,1,noise,llm_gptoss
dragged-0071,2,noise,llm_gptoss
dragged-0071,3,noise,llm_gptoss
dragged-0071,4,noise,reviewed_claude_session
dragged-0071,5,noise,llm_gptoss
dragged-0071,6,noise,reviewed_claude_session
dragged-0071,7,noise,reviewed_claude_session
dragged-0071,8,conflict,reviewed_claude_session
dragged-0071,9,conflict,reviewed_claude_session
dragged-0080,0,conflict,llm_gptoss
dragged-0080,1,conflict,llm_gptoss
dragged-0080,2,conflict,llm_gptoss
dragged-0080,3,conflict,llm_gptoss
dragged-0080,5,noise,llm_gptoss
dragged-0080,7,noise,llm_gptoss
dragged-0080,8,correct,reviewed_claude_session
dragged-0084,0,noise,llm_gptoss
dragged-0084,1,correct,reviewed_claude_session
dragged-0084,2,noise,reviewed_claude_session
dragged-0084,4,noise,llm_gptoss
dragged-0084,5,conflict,reviewed_claude_session
dragged-0084,6,conflict,reviewed_claude_session
dragged-0084,7,noise,llm_gptoss
dragged-0084,8,conflict,reviewed_claude_session
dragged-0086,0,noise,reviewed_claude_session
dragged-0086,1,noise,llm_gptoss
dragged-0086,2,conflict,llm_gptoss
dragged-0086,5,conflict,llm_gptoss
dragged-0086,6,noise,llm_gptoss
dragged-0086,7,noise,reviewed_claude_session
dragged-0090,0,correct,llm_gptoss
dragged-0090,1,noise,llm_gptoss
dragged-0090,2,correct,reviewed_claude_session
dragged-0090,4,conflict,llm_gptoss
dragged-0090,5,conflict,llm_gptoss
dragged-0090,6,noise,llm_gptoss
dragged-0090,8,noise,llm_gptoss
dragged-0093,0,noise,reviewed_claude_session
dragged-0093,1,conflict,llm_gptoss
dragged-0093,2,conflict,llm_gptoss
dragged-0093,4,noise,llm_gptoss
dragged-0093,5,noise,reviewed_claude_session
dragged-0093,6,noise,llm_gptoss
dragged-0093,7,noise,llm_gptoss
dragged-0099,0,correct,llm_gptoss
dragged-0099,1,correct,reviewed_claude_session
dragged-0099,3,conflict,llm_gptoss
dragged-0099,4,noise,reviewed_claude_session
dragged-0099,5,correct,llm_gptoss
dragged-0099,6,correct,llm_gptoss
dragged-0099,7,correct,llm_gptoss
dragged-0099,8,conflict,llm_gptoss
dragged-0103,0,noise,llm_gptoss
dragged-0103,1,noise,llm_gptoss
dragged-0103,2,conflict,llm_gptoss
dragged-0103,5,noise,reviewed_claude_session
dragged-0103,6,conflict,llm_gptoss
dragged-0103,7,noise,llm_gptoss
dragged-0103,8,correct,llm_gptoss
dragged-0112,1,noise,llm_gptoss
dragged-0112,2,noise,reviewed_claude_session
dragged-0112,3,noise,llm_gptoss
dragged-0112,4,correct,reviewed_claude_session
dragged-0112,5,noise,llm_gptoss
dragged-0112,6,conflict,llm_gptoss
dragged-0112,7,noise,llm_gptoss
dragged-0112,8,noise,reviewed_claude_session
dragged-0115,0,conflict,llm_gptoss
dragged-0115,1,conflict,reviewed_claude_session
dragged-0115,2,noise,llm_gptoss
dragged-0115,4,conflict,reviewed_claude_session
dragged-0115,5,conflict,llm_gptoss
dragged-0115,6,noise,llm_gptoss
dragged-0123,0,conflict,reviewed_claude_session
dragged-0123,1,correct,llm_gptoss
dragged-0123,2,noise,reviewed_claude_session
dragged-0123,3,conflict,llm_gptoss
dragged-0123,4,conflict,llm_gptoss
dragged-0123,5,noise,llm_gptoss
dragged-0123,6,noise,llm_gptoss
dragged-0123,8,noise,llm_gptoss
dragged-0124,0,noise,reviewed_claude_session
dragged-0124,1,noise,llm_gptoss
dragged-0124,5,conflict,llm_gptoss
dragged-0124,6,noise,llm_gptoss
dragged-0129,0,conflict,llm_gptoss
dragged-0129,1,noise,llm_gptoss
dragged-0129,2,conflict,reviewed_claude_session
dragged-0129,3,conflict,llm_gptoss
dragged-0129,4,conflict,llm_gptoss
dragged-0129,5,noise,reviewed_claude_session
dragged-0129,7,noise,llm_gptoss
dragged-0129,9,noise,llm_gptoss
dragged-0131,1,correct,llm_gptoss
dragged-0131,2,conflict,llm_gptoss
dragged-0131,3,conflict,reviewed_claude_session
dragged-0131,4,noise,llm_gptoss
dragged-0131,5,conflict,reviewed_claude_session
dragged-0131,7,conflict,reviewed_claude_session
dragged-0137,0,conflict,llm_gptoss
dragged-0137,1,noise,llm_gptoss
dragged-0137,2,correct,llm_gptoss
dragged-0137,4,noise,llm_gptoss
dragged-0137,5,noise,llm_gptoss
dragged-0137,6,correct,llm_gptoss
dragged-0147,0,noise,llm_gptoss
dragged-0147,1,noise,llm_gptoss
dragged-0147,2,conflict,llm_gptoss
dragged-0147,3,conflict,llm_gptoss
dragged-0147,4,noise,llm_gptoss
dragged-0147,5,noise,llm_gptoss
dragged-0147,6,noise,llm_gptoss
dragged-0148,0,noise,llm_gptoss
dragged-0148,1,noise,llm_gptoss
dragged-0148,2,correct,llm_gptoss
dragged-0148,3,noise,reviewed_claude_session
dragged-0148,4,noise,llm_gptoss
dragged-0148,5,correct,llm_gptoss
dragged-0148,6,conflict,llm_gptoss
dragged-0148,7,conflict,llm_gptoss
dragged-0148,8,conflict,llm_gptoss
dragged-0151,0,noise,reviewed_claude_session
dragged-0151,1,noise,llm_gptoss
dragged-0151,2,noise,reviewed_claude_session
dragged-0151,3,noise,llm_gptoss
dragged-0151,4,noise,reviewed_claude_session
dragged-0151,5,conflict,llm_gptoss
dragged-0151,6,noise,llm_gptoss
dragged-0151,7,noise,llm_gptoss
dragged-0151,8,noise,llm_gptoss
dragged-0171,0,noise,reviewed_claude_session
dragged-0171,1,noise,llm_gptoss
dragged-0171,3,noise,reviewed_claude_session
dragged-0171,6,noise,llm_gptoss
dragged-0190,0,noise,llm_gptoss
dragged-0190,1,noise,llm_gptoss
dragged-0190,6,conflict,reviewed_claude_session
dragged-0190,7,noise,reviewed_claude_session
dragged-0192,2,noise,llm_gptoss
dragged-0192,3,noise,llm_gptoss
dragged-0192,5,noise,reviewed_claude_session
dragged-0192,7,conflict,reviewed_claude_session
dragged-0192,8,noise,llm_gptoss
dragged-0220,0,noise,reviewed_claude_session
dragged-0220,1,correct,reviewed_claude_session
dragged-0220,3,noise,llm_gptoss
dragged-0220,4,noise,llm_gptoss
dragged-0220,5,noise,reviewed_claude_session
dragged-0220,7,noise,llm_gptoss
dragged-0220,8,noise,llm_gptoss
dragged-0230,1,noise,llm_gptoss
dragged-0230,2,noise,reviewed_claude_session
dragged-0230,3,conflict,reviewed_claude_session
dragged-0230,4,conflict,llm_gptoss
dragged-0230,6,noise,reviewed_claude_session
dragged-0230,7,conflict,llm_gptoss
dragged-0249,0,noise,llm_gptoss
dragged-0249,1,noise,llm_gptoss
dragged-0249,2,conflict,llm_gptoss
dragged-0249,3,noise,llm_gptoss
dragged-0249,5,conflict,llm_gptoss
dragged-0249,9,noise,llm_gptoss
dragged-0252,0,noise,llm_gptoss
dragged-0252,2,noise,llm_gptoss
dragged-0252,3,conflict,reviewed_claude_session
dragged-0252,4,noise,reviewed_claude_session
dragged-0252,5,conflict,llm_gptoss
dragged-0252,6,correct,llm_gptoss
dragged-0252,7,correct,llm_gptoss
dragged-0273,0,conflict,llm_gptoss
dragged-0273,1,conflict,llm_gptoss
dragged-0273,2,conflict,llm_gptoss
dragged-0273,4,conflict,llm_gptoss
dragged-0273,7,conflict,reviewed_claude_session
dragged-0273,8,noise,llm_gptoss
dragged-0276,0,noise,reviewed_claude_session
dragged-0276,2,noise,llm_gptoss
dragged-0276,3,noise,llm_gptoss
dragged-0276,4,noise,llm_gptoss
dragged-0276,5,conflict,llm_gptoss
dragged-0276,6,correct,llm_gptoss
dragged-0276,7,correct,llm_gptoss
dragged-0276,8,noise,llm_gptoss
dragged-0276,9,noise,llm_gptoss
dragged-0285,1,conflict,reviewed_claude_session
dragged-0285,2,conflict,reviewed_claude_session
dragged-0285,3,conflict,reviewed_claude_session
dragged-0285,4,conflict,llm_gptoss
dragged-0285,5,noise,reviewed_claude_session
dragged-0285,6,conflict,llm_gptoss
dragged-0285,7,noise,llm_gptoss
dragged-0285,8,noise,llm_gptoss
dragged-0297,0,noise,llm_gptoss
dragged-0297,2,noise,llm_gptoss
dragged-0297,3,conflict,llm_gptoss
dragged-0297,5,noise,llm_gptoss
dragged-0297,7,correct,reviewed_claude_session
dragged-0297,8,noise,llm_gptoss
dragged-0297,9,noise,reviewed_claude_session
dragged-0300,0,noise,llm_gptoss
dragged-0300,1,noise,llm_gptoss
dragged-0300,3,noise,llm_gptoss
dragged-0300,5,conflict,reviewed_claude_session
dragged-0300,6,conflict,reviewed_claude_session
dragged-0300,7,conflict,llm_gptoss
dragged-0300,8,noise,reviewed_claude_session
dragged-0310,1,noise,llm_gptoss
dragged-0310,2,correct,llm_gptoss
dragged-0310,3,correct,reviewed_claude_session
dragged-0310,4,noise,llm_gptoss
dragged-0310,5,correct,llm_gptoss
dragged-0310,6,correct,llm_gptoss
dragged-0310,7,noise,reviewed_claude_session
dragged-0310,8,correct,llm_gptoss
dragged-0316,0,noise,reviewed_claude_session
dragged-0316,1,noise,reviewed_claude_session
dragged-0316,2,noise,llm_gptoss
dragged-0316,4,noise,reviewed_claude_session
dragged-0316,6,noise,llm_gptoss
dragged-0316,7,noise,llm_gptoss
dragged-0332,0,noise,reviewed_claude_session
dragged-0332,1,noise,reviewed_claude_session
dragged-0332,2,noise,llm_gptoss
dragged-0332,3,correct,llm_gptoss
dragged-0332,5,noise,llm_gptoss
dragged-0332,6,noise,reviewed_claude_session
dragged-0332,7,noise,llm_gptoss
dragged-0332,8,noise,llm_gptoss
dragged-0339,1,noise,llm_gptoss
dragged-0339,2,conflict,llm_gptoss
dragged-0339,3,correct,reviewed_claude_session
dragged-0339,4,correct,reviewed_claude_session
dragged-0339,5,correct,llm_gptoss
dragged-0339,6,noise,llm_gptoss
dragged-0339,7,noise,llm_gptoss
dragged-0339,8,noise,llm_gptoss
dragged-0343,0,noise,reviewed_claude_session
dragged-0343,1,noise,llm_gptoss
dragged-0343,2,noise,reviewed_claude_session
dragged-0343,3,conflict,llm_gptoss
dragged-0343,4,noise,llm_gptoss
dragged-0343,5,noise,llm_gptoss
dragged-0343,6,noise,reviewed_claude_session
dragged-0343,7,noise,llm_gptoss
dragged-0343,8,correct,llm_gptoss
dragged-0343,9,noise,reviewed_claude_session
dragged-0369,0,noise,llm_gptoss
dragged-0369,1,noise,llm_gptoss
dragged-0369,2,noise,llm_gptoss
dragged-0369,3,noise,llm_gptoss
dragged-0369,4,noise,llm_gptoss
dragged-0369,5,noise,llm_gptoss
dragged-0369,6,noise,llm_gptoss
dragged-0369,7,noise,llm_gptoss
dragged-0380,0,noise,llm_gptoss
dragged-0380,1,noise,reviewed_claude_session
dragged-0380,3,noise,reviewed_claude_session
dragged-0380,4,conflict,llm_gptoss
dragged-0380,6,noise,reviewed_claude_session
dragged-0380,9,noise,llm_gptoss
dragged-0381,0,conflict,llm_gptoss
dragged-0381,1,conflict,llm_gptoss
dragged-0381,2,conflict,llm_gptoss
dragged-0381,7,conflict,reviewed_claude_session
dragged-0381,8,conflict,llm_gptoss
dragged-0384,0,noise,llm_gptoss
dragged-0384,1,noise,reviewed_claude_session
dragged-0384,2,correct,llm_gptoss
dragged-0384,3,conflict,reviewed_claude_session
dragged-0384,5,noise,reviewed_claude_session
dragged-0384,6,noise,llm_gptoss
dragged-0384,7,correct,llm_gptoss
dragged-0384,8,noise,reviewed_claude_session
dragged-0393,1,conflict,llm_gptoss
dragged-0393,3,conflict,reviewed_claude_session
dragged-0393,4,noise,llm_gptoss
dragged-0393,8,noise,llm_gptoss
dragged-0393,9,correct,llm_gptoss
dragged-0395,2,noise,reviewed_claude_session
dragged-0395,3,noise,llm_gptoss
dragged-0395,4,noise,llm_gptoss
dragged-0395,6,correct,reviewed_claude_session
dragged-0395,7,noise,reviewed_claude_session
dragged-0395,8,noise,llm_gptoss
dragged-0395,9,noise,llm_gptoss
dragged-0403,0,noise,llm_gptoss
dragged-0403,1,conflict,llm_gptoss
dragged-0403,2,noise,reviewed_claude_session
dragged-0403,3,noise,llm_gptoss
dragged-0403,4,conflict,reviewed_claude_session
dragged-0403,5,noise,llm_gptoss
dragged-0403,6,noise,llm_gptoss
dragged-0403,8,conflict,reviewed_claude_session
dragged-0405,0,noise,llm_gptoss
dragged-0405,1,correct,reviewed_claude_session
dragged-0405,3,noise,llm_gptoss
dragged-0405,4,noise,llm_gptoss
dragged-0405,5,conflict,reviewed_claude_session
dragged-0405,6,noise,llm_gptoss
dragged-0405,7,correct,reviewed_claude_session
dragged-0405,8,noise,llm_gptoss
dragged-0405,9,correct,reviewed_claude_session
dragged-0416,0,noise,llm_gptoss
dragged-0416,6,noise,llm_gptoss
dragged-0416,7,noise,llm_gptoss
dragged-0416,8,noise,llm_gptoss
dragged-0433,0,conflict,reviewed_claude_session
dragged-0433,1,correct,llm_gptoss
dragged-0433,2,correct,llm_gptoss
dragged-0433,3,correct,reviewed_claude_session
dragged-0433,4,conflict,llm_gptoss
dragged-0433,5,conflict,llm_gptoss
dragged-0433,6,noise,llm_gptoss
dragged-0433,7,conflict,llm_gptoss
dragged-0433,8,conflict,llm_gptoss
dragged-0433,9,correct,llm_gptoss
dragged-0433,10,correct,llm_gptoss
dragged-0433,11,correct,llm_gptoss
dragged-0433,12,correct,llm_gptoss
dragged-0433,13,correct,reviewed_claude_session
dragged-0433,14,correct,reviewed_claude_session
dragged-0433,15,correct,reviewed_claude_session
dragged-0433,16,correct,reviewed_claude_session
dragged-0433,17,correct,llm_gptoss
dragged-0433,18,correct,reviewed_claude_session
dragged-0433,19,correct,reviewed_claude_session
dragged-0435,0,noise,llm_gptoss
dragged-0435,2,conflict,llm_gptoss
dragged-0435,3,noise,llm_gptoss
dragged-0435,4,noise,reviewed_claude_session
dragged-0435,5,noise,llm_gptoss
dragged-0435,6,conflict,llm_gptoss
dragged-0435,7,noise,reviewed_claude_session
dragged-0435,8,noise,llm_gptoss
dragged-0435,9,noise,llm_gptoss
dragged-0440,1,noise,llm_gptoss
dragged-0440,2,noise,reviewed_claude_session
dragged-0440,6,noise,llm_gptoss
dragged-0440,9,noise,llm_gptoss
dragged-0448,0,noise,llm_gptoss
dragged-0448,1,noise,llm_gptoss
dragged-0448,2,correct,llm_gptoss
dragged-0448,3,conflict,llm_gptoss
dragged-0448,4,noise,llm_gptoss
dragged-0448,5,noise,reviewed_claude_session
dragged-0448,6,conflict,reviewed_claude_session
dragged-0448,7,noise,reviewed_claude_session
dragged-0450,0,noise,reviewed_claude_session
dragged-0450,2,correct,llm_gptoss
dragged-0450,3,conflict,llm_gptoss
dragged-0450,4,noise,reviewed_claude_session
dragged-0450,5,noise,reviewed_claude_session
dragged-0450,6,conflict,llm_gptoss
dragged-0450,7,conflict,llm_gptoss
dragged-0451,0,noise,reviewed_claude_session
dragged-0451,3,noise,reviewed_claude_session
dragged-0451,5,noise,llm_gptoss
dragged-0451,7,noise,reviewed_claude_session
dragged-0451,8,noise,llm_gptoss
dragged-0452,0,correct,reviewed_claude_session
dragged-0452,1,noise,llm_gptoss
dragged-0452,2,correct,llm_gptoss
dragged-0452,3,noise,reviewed_claude_session
dragged-0452,4,correct,reviewed_claude_session
dragged-0452,5,noise,llm_gptoss
dragged-0452,7,conflict,llm_gptoss
dragged-0452,8,noise,llm_gptoss
dragged-0454,0,conflict,llm_gptoss
dragged-0454,1,conflict,reviewed_claude_session
dragged-0454,3,noise,llm_gptoss
dragged-0454,4,correct,llm_gptoss
dragged-0454,5,correct,llm_gptoss
dragged-0454,6,noise,llm_gptoss
dragged-0454,7,noise,llm_gptoss
dragged-0455,3,conflict,llm_gptoss
dragged-0455,6,noise,reviewed_claude_session
dragged-0007,0,correct,reviewed_claude_session
dragged-0007,1,noise,reviewed_claude_session
dragged-0007,2,correct,llm_gptoss
dragged-0007,3,noise,llm_gptoss
dragged-0007,4,correct,reviewed_claude_session
dragged-0007,5,correct,reviewed_claude_session
dragged-0007,7,correct,reviewed_claude_session
dragged-0007,9,correct,llm_gptoss
dragged-0155,0,correct,reviewed_claude_session
dragged-0155,1,correct,llm_gptoss
dragged-0155,2,correct,reviewed_claude_session
dragged-0155,3,noise,reviewed_claude_session
dragged-0155,4,correct,reviewed_claude_session
dragged-0155,5,correct,llm_gptoss
dragged-0155,6,noise,reviewed_claude_session
dragged-0155,7,conflict,reviewed_claude_session
dragged-0155,8,correct,llm_gptoss
dragged-0257,1,noise,llm_gptoss
dragged-0257,4,noise,reviewed_claude_session
dragged-0257,6,noise,llm_gptoss
dragged-0257,7,noise,llm_gptoss
dragged-0422,0,noise,llm_gptoss
dragged-0422,1,correct,llm_gptoss
dragged-0422,3,noise,reviewed_claude_session
dragged-0422,5,conflict,reviewed_claude_session
dragged-0422,6,noise,llm_gptoss
dragged-0422,7,noise,llm_gptoss
dragged-0422,8,noise,llm_gptoss
dragged-0438,2,noise,llm_gptoss
dragged-0438,7,conflict,reviewed_claude_session
